design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_1000, lvt, 0.8, 1.36, 1.74, 1.69, 11606.590831, 13091, 13758, 3.7513, 5.4931, 5.1982, 0.6247687, 0.5508262, 0.5000698
lvt_1000, lvt, 0.9, 1.00, 1.30, 1.26, 11606.590831, 13091, 13758, 4.7222, 6.9404, 6.5678, 0.8597057, 0.754812, 0.6834917
lvt_1000, lvt, 1.0, 0.80, 1.05, 1.01, 11606.590831, 13091, 13758, 5.8470, 8.6108, 8.1441, 1.1680, 1.0213, 0.9225726
lvt_1100, lvt, 0.8, 1.47, 1.88, 1.85, 11499.692407, 12646, 12913, 3.7383, 5.1347, 4.7967, 0.6188093, 0.5124312, 0.4715367
lvt_1100, lvt, 0.9, 1.09, 1.40, 1.37, 11499.692407, 12646, 12913, 4.7040, 6.4838, 6.0571, 0.8510582, 0.7015203, 0.6440063
lvt_1100, lvt, 1.0, 0.88, 1.13, 1.10, 11499.692407, 12646, 12913, 5.8239, 8.0423, 7.5118, 1.1556, 0.9482582, 0.8685226
lvt_1200, lvt, 0.8, 1.62, 2.02, 1.99, 11472.703208, 12357, 12602, 3.7283, 4.9839, 4.6291, 0.6098616, 0.4943587, 0.4527136
lvt_1200, lvt, 0.9, 1.20, 1.52, 1.49, 11472.703208, 12357, 12602, 4.6946, 6.2926, 5.8449, 0.8385265, 0.6763335, 0.6179762
lvt_1200, lvt, 1.0, 0.96, 1.22, 1.20, 11472.703208, 12357, 12602, 5.8175, 7.8057, 7.2501, 1.1383, 0.9135858, 0.8329533
lvt_590, lvt, 0.8, 0.95, 1.29, 1.21, 19855.231569, 26316, 25471, 5.8112, 9.4236, 8.8946, 1.0980, 1.4549, 1.3793
lvt_590, lvt, 0.9, 0.71, 0.98, 0.90, 19855.231569, 26316, 25471, 7.3401, 11.9303, 11.2565, 1.5166, 2.0141, 1.9079
lvt_590, lvt, 1.0, 0.56, 0.80, 0.72, 19855.231569, 26316, 25471, 9.1107, 14.8340, 13.9903, 2.0688, 2.7536, 2.6062
lvt_650, lvt, 0.8, 0.96, 1.25, 1.20, 20003.407553, 26805, 25715, 5.8511, 9.5688, 9.1298, 1.1002, 1.4217, 1.3703
lvt_650, lvt, 0.9, 0.70, 0.94, 0.90, 20003.407553, 26805, 25715, 7.3903, 12.1041, 11.5511, 1.5193, 1.9663, 1.8943
lvt_650, lvt, 1.0, 0.56, 0.77, 0.73, 20003.407553, 26805, 25715, 9.1731, 15.0281, 14.3491, 2.0721, 2.6860, 2.5862
lvt_700, lvt, 0.8, 0.96, 1.25, 1.19, 19536.123947, 26671, 26204, 5.6619, 9.6708, 9.2709, 1.0479, 1.3606, 1.2905
lvt_700, lvt, 0.9, 0.71, 0.92, 0.89, 19536.123947, 26671, 26204, 7.1517, 12.2319, 11.7258, 1.4469, 1.8800, 1.7819
lvt_700, lvt, 1.0, 0.56, 0.75, 0.71, 19536.123947, 26671, 26204, 8.8776, 15.1827, 14.5585, 1.9731, 2.5657, 2.4301
lvt_800, lvt, 0.8, 1.09, 1.38, 1.37, 13814.413428, 17136, 15780, 4.2746, 7.1895, 6.0278, 0.7037847, 0.8143372, 0.6810477
lvt_800, lvt, 0.9, 0.80, 1.03, 1.01, 13814.413428, 17136, 15780, 5.3977, 9.0946, 7.6210, 0.9692632, 1.1203, 0.9351078
lvt_800, lvt, 1.0, 0.64, 0.83, 0.81, 13814.413428, 17136, 15780, 6.6997, 11.2892, 9.4554, 1.3182, 1.5220, 1.2680
lvt_900, lvt, 0.8, 1.23, 1.61, 1.59, 12131.028123, 14069, 13558, 3.8536, 5.9011, 5.2231, 0.6271704, 0.613485, 0.5327028
lvt_900, lvt, 0.9, 0.91, 1.20, 1.18, 12131.028123, 14069, 13558, 4.8613, 7.4679, 6.6065, 0.8633126, 0.8421136, 0.7293693
lvt_900, lvt, 1.0, 0.72, 0.96, 0.95, 12131.028123, 14069, 13558, 6.0289, 9.2784, 8.2031, 1.1734, 1.1415, 0.9861865
