design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_1000, lvt, 0.8, 1.45, 1.73, 1.73, 19610.388342, 23640, 23211, 6.4225, 9.4139, 8.7188, 1.0990, 1.2604, 1.1458
lvt_1000, lvt, 0.9, 1.07, 1.29, 1.30, 19610.388342, 23640, 23211, 8.1158, 11.9063, 11.0287, 1.5181, 1.7392, 1.5805
lvt_1000, lvt, 1.0, 0.86, 1.05, 1.06, 19610.388342, 23640, 23211, 10.0764, 14.7778, 13.6919, 2.0710, 2.3702, 2.1530
lvt_1100, lvt, 0.8, 1.49, 1.87, 1.85, 17192.649930, 18718, 19079, 5.6475, 7.5872, 7.3253, 0.9072164, 0.8990346, 0.8611443
lvt_1100, lvt, 0.9, 1.10, 1.40, 1.39, 17192.649930, 18718, 19079, 7.1358, 9.5937, 9.2641, 1.2504, 1.2364, 1.1838
lvt_1100, lvt, 1.0, 0.88, 1.13, 1.13, 17192.649930, 18718, 19079, 8.8591, 11.9004, 11.4956, 1.7019, 1.6792, 1.6071
lvt_1200, lvt, 0.8, 1.62, 2.06, 2.03, 15195.801860, 15353, 16482, 5.1329, 6.5075, 6.2748, 0.7933297, 0.6760852, 0.6747698
lvt_1200, lvt, 0.9, 1.20, 1.55, 1.52, 15195.801860, 15353, 16482, 6.4868, 8.2278, 7.9346, 1.0934, 0.9276862, 0.9254899
lvt_1200, lvt, 1.0, 0.96, 1.26, 1.22, 15195.801860, 15353, 16482, 8.0567, 10.2037, 9.8442, 1.4882, 1.2571, 1.2536
lvt_1300, lvt, 0.8, 1.75, 2.25, 2.20, 13664.473394, 13344, 14631, 4.7482, 5.9537, 5.7427, 0.7020576, 0.5751876, 0.5885207
lvt_1300, lvt, 0.9, 1.30, 1.68, 1.64, 13664.473394, 13344, 14631, 5.9966, 7.5278, 7.2620, 0.9665827, 0.7884969, 0.8062109
lvt_1300, lvt, 1.0, 1.04, 1.35, 1.33, 13664.473394, 13344, 14631, 7.4419, 9.3365, 9.0119, 1.3141, 1.0675, 1.0907
lvt_1400, lvt, 0.8, 1.89, 2.41, 2.36, 13086.763337, 12621, 14134, 4.5269, 5.7106, 5.4216, 0.6603883, 0.5157057, 0.5287681
lvt_1400, lvt, 0.9, 1.40, 1.79, 1.75, 13086.763337, 12621, 14134, 5.7111, 7.2166, 6.8552, 0.9083091, 0.7056801, 0.722802
lvt_1400, lvt, 1.0, 1.12, 1.44, 1.41, 13086.763337, 12621, 14134, 7.0794, 8.9456, 8.5087, 1.2336, 0.9536334, 0.975731
lvt_900, lvt, 0.8, 1.43, 1.77, 1.75, 19677.949539, 23821, 23640, 6.4069, 9.4280, 9.0708, 1.1146, 1.3600, 1.3059
lvt_900, lvt, 0.9, 1.06, 1.35, 1.31, 19677.949539, 23821, 23640, 8.0951, 11.9246, 11.4776, 1.5397, 1.8813, 1.8059
lvt_900, lvt, 1.0, 0.85, 1.11, 1.06, 19677.949539, 23821, 23640, 10.0491, 14.8050, 14.2593, 2.1005, 2.5702, 2.4664
lvt_950, lvt, 0.8, 1.43, 1.77, 1.76, 19955.073937, 24566, 24159, 6.5608, 10.0178, 9.1454, 1.1382, 1.3881, 1.2940
lvt_950, lvt, 0.9, 1.06, 1.34, 1.33, 19955.073937, 24566, 24159, 8.2897, 12.6717, 11.5682, 1.5730, 1.9199, 1.7893
lvt_950, lvt, 1.0, 0.85, 1.10, 1.08, 19955.073937, 24566, 24159, 10.2911, 15.7343, 14.3652, 2.1470, 2.6226, 2.4433
