design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_1000, lvt, 0.8, 1.37, 1.73, 1.71, 2391.278470, 2515, 2523, 0.8539575, 0.9471515, 0.9671082, 0.1375275, 0.1089226, 0.1114151
lvt_1000, lvt, 0.9, 1.01, 1.27, 1.27, 2391.278470, 2515, 2523, 1.0768, 1.1949, 1.2202, 0.189056, 0.1493073, 0.1527832
lvt_1000, lvt, 1.0, 0.80, 1.01, 1.02, 2391.278470, 2515, 2523, 1.3368, 1.4816, 1.5131, 0.256616, 0.2021026, 0.2068883
lvt_1100, lvt, 0.8, 1.51, 1.87, 1.85, 2340.298870, 2476, 2484, 0.8195916, 0.9177544, 0.9282878, 0.1356151, 0.1053209, 0.1067086
lvt_1100, lvt, 0.9, 1.11, 1.38, 1.38, 2340.298870, 2476, 2484, 1.0333, 1.1579, 1.1712, 0.1863951, 0.1443094, 0.1462186
lvt_1100, lvt, 1.0, 0.88, 1.10, 1.10, 2340.298870, 2476, 2484, 1.2829, 1.4361, 1.4525, 0.2529578, 0.1952554, 0.1978475
lvt_650, lvt, 0.8, 0.94, 1.11, 1.13, 3747.794434, 3826, 3693, 1.4415, 1.5308, 1.5585, 0.264532, 0.2194435, 0.2099398
lvt_650, lvt, 0.9, 0.70, 0.83, 0.84, 3747.794434, 3826, 3693, 1.8229, 1.9335, 1.9680, 0.3660005, 0.3024908, 0.2893054
lvt_650, lvt, 1.0, 0.56, 0.67, 0.67, 3747.794434, 3826, 3693, 2.2672, 2.3981, 2.4397, 0.5000202, 0.4117115, 0.3936465
lvt_700, lvt, 0.8, 0.95, 1.20, 1.23, 3461.497225, 3298, 3327, 1.3909, 1.3583, 1.3877, 0.2453382, 0.1791958, 0.1795564
lvt_700, lvt, 0.9, 0.70, 0.89, 0.92, 3461.497225, 3298, 3327, 1.7585, 1.7142, 1.7515, 0.3391591, 0.2466299, 0.2471344
lvt_700, lvt, 1.0, 0.56, 0.72, 0.74, 3461.497225, 3298, 3327, 2.1864, 2.1243, 2.1705, 0.4629121, 0.3351476, 0.3358468
lvt_750, lvt, 0.8, 1.01, 1.29, 1.29, 2991.038408, 3058, 3076, 1.2147, 1.2611, 1.2963, 0.2106603, 0.1647261, 0.1659204
lvt_750, lvt, 0.9, 0.75, 0.96, 0.96, 2991.038408, 3058, 3076, 1.5342, 1.5907, 1.6352, 0.2909493, 0.2264787, 0.2281431
lvt_750, lvt, 1.0, 0.60, 0.77, 0.77, 2991.038408, 3058, 3076, 1.9054, 1.9703, 2.0253, 0.3967019, 0.3074237, 0.309717
lvt_800, lvt, 0.8, 1.08, 1.34, 1.35, 2789.942394, 2910, 2937, 1.1150, 1.1894, 1.2499, 0.1863685, 0.1519827, 0.1566281
lvt_800, lvt, 0.9, 0.80, 1.00, 1.01, 2789.942394, 2910, 2937, 1.4059, 1.4994, 1.5761, 0.2569261, 0.2086476, 0.2151319
lvt_800, lvt, 1.0, 0.64, 0.81, 0.81, 2789.942394, 2910, 2937, 1.7429, 1.8560, 1.9514, 0.3496721, 0.2827919, 0.2917268
lvt_900, lvt, 0.8, 1.21, 1.53, 1.53, 2501.528417, 2603, 2619, 0.9049634, 0.9681877, 1.0130, 0.1507867, 0.1175063, 0.121599
lvt_900, lvt, 0.9, 0.90, 1.13, 1.14, 2501.528417, 2603, 2619, 1.1405, 1.2203, 1.2773, 0.2073672, 0.1610091, 0.1667085
lvt_900, lvt, 1.0, 0.72, 0.91, 0.92, 2501.528417, 2603, 2619, 1.4133, 1.5101, 1.5811, 0.2815794, 0.2178537, 0.2256841
