TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.VT,TOP.Voltage,TOP.top_FMA.FMA.Designware_MODE,TOP.top_FMA.FMA.EnableDenormals,TOP.top_FMA.FMA.ExponentWidth,TOP.top_FMA.FMA.FractionWidth,TOP.top_FMA.FMA.UseInc,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
0 , 0.0714285714285714 , 6 , svt , 0.8 , OFF , YES , 15 , 112 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 77591 , FMA_unq1 , FMA , 83083 , 70 , 30 , 71569 , 0 , 77591 , 0 , 67703 , 0 , 0 , 5.35 , 0 , 3.41 , 0.9 , 83153 , svt , 0.100598 , 5.35 , 40.0484 , 2.2001 , 0.082852788351 , 3.92 , 29.3155 , 1.9138 , 0.100598 , 5.35 , 40.0484 , 2.2001 , 0.095487 , 5.39 , 41.3829 , 2.1909 , 
0 , 0.0714285714285714 , 6 , svt , 0.8 , OFF , YES , 15 , 112 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 63507 , FMA_unq1 , FMA , 12614 , 81 , 30 , 60791 , 0 , 63507 , 0 , 51286 , 0 , 0 , 8.70 , 0 , 5.75697969031272 , 0.9 , 12695 , svt , 0.078853 , 8.70 , 34.5038 , 1.2063 , 0.072184115917 , 6.65 , 24.7778 , 1.4912 , 0.078853 , 8.70 , 34.5038 , 1.2063 , 0.072286 , 8.76 , 35.3652 , 1.1641 , 
0 , 0.0714285714285714 , 6 , svt , 0.8 , OFF , YES , 15 , 112 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 62274 , FMA_unq1 , FMA , 9809 , 70 , 30 , 60917 , 0 , 62274 , 0 , 49539 , 0 , 0 , 10.16 , 0 , 7.11130830179658 , 0.9 , 9879 , svt , 0.077624 , 10.16 , 33.5960 , 1.1175 , 0.072235448219 , 8.16 , 26.3383 , 1.5797 , 0.077624 , 10.16 , 33.5960 , 1.1175 , 0.070487 , 10.15 , 33.3975 , 1.0283 , 
0 , 0.0714285714285714 , 6 , svt , 0.8 , OFF , YES , 15 , 112 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 53920 , FMA_unq1 , FMA , 9125 , 71 , 30 , 51782 , 0 , 53920 , 0 , 40294 , 0 , 0 , 16.25 , 0 , 11.4233317091804 , 0.9 , 9196 , svt , 0.072743 , 16.25 , 33.3527 , 1.2617 , 0.067037292087 , 13.02 , 24.6516 , 1.5891 , 0.072743 , 16.25 , 33.3527 , 1.2617 , 0.065009 , 16.32 , 33.1670 , 1.1977 , 
0 , 0.0714285714285714 , 6 , svt , 0.8 , OFF , YES , 15 , 112 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 52945 , FMA_unq1 , FMA , 8414 , 79 , 30 , 51247 , 0 , 52945 , 0 , 39381 , 0 , 0 , 17.18 , 0 , 12.009867339205 , 0.9 , 8493 , svt , 0.071791 , 17.18 , 31.7261 , 1.2341 , 0.066542666469 , 13.78 , 24.3682 , 1.5528 , 0.071791 , 17.18 , 31.7261 , 1.2341 , 0.064054 , 17.10 , 32.1868 , 1.1756 , 
0 , 0.0714285714285714 , 6 , svt , 0.8 , OFF , YES , 15 , 112 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 52468 , FMA_unq1 , FMA , 8487 , 70 , 30 , 51486 , 0 , 52468 , 0 , 39618 , 0 , 0 , 18.97 , 0 , 13.3784935881484 , 0.9 , 8557 , svt , 0.071408 , 18.97 , 33.1452 , 1.2180 , 0.066699662472 , 15.16 , 24.6093 , 1.5710 , 0.071408 , 18.97 , 33.1452 , 1.2180 , 0.064456 , 19.09 , 33.2114 , 1.1736 , 
0 , 0.0714285714285714 , 6 , svt , 0.8 , OFF , YES , 15 , 112 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 52407 , FMA_unq1 , FMA , 8537 , 79 , 30 , 51206 , 0 , 52407 , 0 , 39061 , 0 , 0 , 19.45 , 0 , 13.9125555948677 , 0.9 , 8616 , svt , 0.071296 , 19.45 , 31.7392 , 1.2124 , 0.066453760869 , 15.74 , 24.3846 , 1.5537 , 0.071296 , 19.45 , 31.7392 , 1.2124 , 0.063739 , 19.70 , 31.8990 , 1.1547 , 
0 , 0.0714285714285714 , 6 , svt , 0.8 , OFF , YES , 15 , 112 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 52160 , FMA_unq1 , FMA , 7908 , 67 , 30 , 51470 , 0 , 52160 , 0 , 39367 , 0 , 0 , 22.15 , 0 , 15.6682914621385 , 0.9 , 7975 , svt , 0.071086 , 22.15 , 33.0580 , 1.1987 , 0.066652916476 , 17.68 , 24.5116 , 1.5608 , 0.071086 , 22.15 , 33.0580 , 1.1987 , 0.064134 , 22.05 , 33.0657 , 1.1561 , 
0 , 0.0714285714285714 , 6 , svt , 0.8 , OFF , YES , 15 , 112 , NO , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 51897 , FMA_unq1 , FMA , 9643 , 79 , 30 , 51255 , 0 , 51897 , 0 , 39040 , 0 , 0 , 22.79 , 0 , 16.1166812016674 , 0.9 , 9722 , svt , 0.070846 , 22.79 , 31.5875 , 1.1921 , 0.066470342476 , 18.22 , 24.3237 , 1.5437 , 0.070846 , 22.79 , 31.5875 , 1.1921 , 0.063694 , 22.69 , 31.8524 , 1.1420 , 
0 , 0.0714285714285714 , 6 , svt , 0.8 , OFF , YES , 15 , 112 , NO , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 52108 , FMA_unq1 , FMA , 7897 , 69 , 30 , 51488 , 0 , 52108 , 0 , 39311 , 0 , 0 , 26.51 , 0 , 20 , 0.9 , 7966 , svt , 0.070936 , 26.51 , 32.9787 , 1.1874 , 0.06659823248 , 18.30 , 26.3419 , 1.5404 , 0.070936 , 26.51 , 32.9787 , 1.1874 , 0.063829 , 26.42 , 33.8299 , 1.1411 , 
