TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.VT,TOP.Voltage,TOP.top_FMA.FMA.Designware_MODE,TOP.top_FMA.FMA.EnableDenormals,TOP.top_FMA.FMA.ExponentWidth,TOP.top_FMA.FMA.FMA_MAN0.MUL0.BoothType,TOP.top_FMA.FMA.FMA_MAN0.MUL0.Designware_MODE,TOP.top_FMA.FMA.FMA_MAN0.MUL0.TreeType,TOP.top_FMA.FMA.FractionWidth,TOP.top_FMA.FMA.UseInc,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
4 , 0.0310344827586207 , 144 , hvt , 0.8 , OFF , YES , 8 , 2 , OFF , Array , 23 , NO , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 5804 , FMA_unq1 , FMA , 1996 , 40 , 30 , 5413 , 0 , 5804 , 0 , 5876 , 0 , 0 , 6.52 , 1 , 6.33073027170348 , 0.8 , 2036 , hvt , 0.00725 , 6.52 , 2.7430 , 0.0410692 , 0.006801102125 , 5.06 , 2.3006 , 0.0483094 , 0.00725 , 6.52 , 2.7430 , 0.0410692 , 0.007556 , 6.41 , 2.8579 , 0.044115 , 
4 , 0.0310344827586207 , 144 , hvt , 0.8 , OFF , YES , 8 , 2 , OFF , Array , 23 , NO , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 4610 , FMA_unq1 , FMA , 1016 , 39 , 30 , 4742 , 0 , 4610 , 0 , 4603 , 0 , 0 , 8.44 , 1 , 8.31496800271012 , 0.8 , 1055 , hvt , 0.006128 , 8.44 , 2.1676 , 0.0311743 , 0.005951736068 , 6.65 , 1.9615 , 0.0395314 , 0.006128 , 8.44 , 2.1676 , 0.0311743 , 0.006169 , 8.37 , 2.2019 , 0.0309557 , 
4 , 0.0310344827586207 , 144 , hvt , 0.8 , OFF , YES , 8 , 2 , OFF , Array , 23 , NO , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 4176 , FMA_unq1 , FMA , 1134 , 40 , 30 , 4010 , 0 , 4176 , 0 , 4113 , 0 , 0 , 11.01 , 1 , 10.921124407262 , 0.8 , 1174 , hvt , 0.006077 , 11.01 , 2.3924 , 0.0319999 , 0.005629629604 , 8.73 , 2.0213 , 0.0394303 , 0.006077 , 11.01 , 2.3924 , 0.0319999 , 0.006046 , 10.98 , 2.4803 , 0.032391 , 
4 , 0.0310344827586207 , 144 , hvt , 0.8 , OFF , YES , 8 , 2 , OFF , Array , 23 , NO , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 0 , 4045 , FMA_unq1 , FMA , 911 , 40 , 30 , 4018 , 0 , 4045 , 0 , 4011 , 0 , 0 , 12.55 , 1 , 12.5161494546469 , 0.8 , 951 , hvt , 0.005944 , 12.55 , 2.3691 , 0.0299626 , 0.005602111203 , 10.01 , 2.0083 , 0.0387887 , 0.005944 , 12.55 , 2.3691 , 0.0299626 , 0.005964 , 12.50 , 2.4030 , 0.030032 , 
4 , 0.0310344827586207 , 144 , hvt , 0.8 , OFF , YES , 8 , 2 , OFF , Array , 23 , NO , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 4015 , FMA_unq1 , FMA , 886 , 40 , 30 , 4010 , 0 , 4015 , 0 , 3962 , 0 , 0 , 14.34 , 1 , 14.3441271547911 , 0.8 , 926 , hvt , 0.005923 , 14.34 , 2.3374 , 0.0290659 , 0.005588881204 , 10.78 , 2.0082 , 0.0386429 , 0.005923 , 14.34 , 2.3374 , 0.0290659 , 0.005903 , 14.23 , 2.3778 , 0.0290098 , 
4 , 0.0310344827586207 , 144 , hvt , 0.8 , OFF , YES , 8 , 2 , OFF , Array , 23 , NO , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 4580 , FMA_unq1 , FMA , 890 , 37 , 30 , 4592 , 0 , 4580 , 0 , 4505 , 0 , 0 , 18.84 , 1 , 20 , 0.8 , 927 , hvt , 0.006026 , 18.84 , 2.1019 , 0.0206057 , 0.005711832061 , 11.52 , 1.7537 , 0.028725 , 0.006026 , 18.84 , 2.1019 , 0.0206057 , 0.006005 , 18.78 , 2.2074 , 0.0209572 , 
5 , 0.0379310344827586 , 144 , hvt , 0.8 , OFF , YES , 8 , 2 , OFF , OS1 , 23 , NO , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 5231 , FMA_unq1 , FMA , 1553 , 37 , 30 , 4999 , 0 , 5231 , 0 , 5435 , 0 , 0 , 6.74 , 1 , 6.60626323868806 , 0.8 , 1590 , hvt , 0.006834 , 6.74 , 2.5103 , 0.0369312 , 0.006208927297 , 5.28 , 2.0124 , 0.0424304 , 0.006834 , 6.74 , 2.5103 , 0.0369312 , 0.006987 , 6.77 , 2.6204 , 0.038576 , 
5 , 0.0379310344827586 , 144 , hvt , 0.8 , OFF , YES , 8 , 2 , OFF , OS1 , 23 , NO , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 4148 , FMA_unq1 , FMA , 929 , 38 , 30 , 4002 , 0 , 4148 , 0 , 4036 , 0 , 0 , 10.95 , 1 , 10.9106784947103 , 0.8 , 967 , hvt , 0.006046 , 10.95 , 2.3094 , 0.0321432 , 0.005618340001 , 8.73 , 1.9567 , 0.0400697 , 0.006046 , 10.95 , 2.3094 , 0.0321432 , 0.006005 , 10.97 , 2.3675 , 0.0320401 , 
5 , 0.0379310344827586 , 144 , hvt , 0.8 , OFF , YES , 8 , 2 , OFF , OS1 , 23 , NO , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 4019 , FMA_unq1 , FMA , 891 , 37 , 30 , 4002 , 0 , 4019 , 0 , 3984 , 0 , 0 , 12.83 , 1 , 12.8968521116515 , 0.8 , 928 , hvt , 0.005923 , 12.83 , 2.2266 , 0.029867 , 0.005589939602 , 10.31 , 1.9392 , 0.0391443 , 0.005923 , 12.83 , 2.2266 , 0.029867 , 0.005944 , 12.86 , 2.3017 , 0.0299118 , 
5 , 0.0379310344827586 , 144 , hvt , 0.8 , OFF , YES , 8 , 2 , OFF , OS1 , 23 , NO , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 4004 , FMA_unq1 , FMA , 846 , 39 , 30 , 4006 , 0 , 4004 , 0 , 3957 , 0 , 0 , 15.23 , 1 , 15.2445876276576 , 0.8 , 885 , hvt , 0.005913 , 15.23 , 2.2238 , 0.0292267 , 0.005594526002 , 11.00 , 1.9217 , 0.0387435 , 0.005913 , 15.23 , 2.2238 , 0.0292267 , 0.005882 , 14.94 , 2.2817 , 0.029154 , 
