TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.VT,TOP.Voltage,TOP.top.FPMult.EnableDenormals,TOP.top.FPMult.ExponentWidth,TOP.top.FPMult.FractionWidth,TOP.top.FPMult.Mult.Designware_MODE,TOP.top.FPMult.Mult.MultP.BoothType,TOP.top.FPMult.Mult.MultP.Designware_MODE,TOP.top.FPMult.Mult.MultP.TreeType,TOP.top.FPMult.Mult.PartialProductSum.AdderType,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
10 , 0.115384615384615 , 90 , svt , 0.8 , YES , 15 , 112 , OFF , 2 , OFF , OS1 , DesignWare , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 65702 , FPMult_unq1 , FPMult , 27890 , 88 , 30 , 66721 , 0 , 65702 , 0 , 67782 , 0 , 0 , 3.28 , 0 , 0.4 , 0.9 , 27978 , svt , 0.094301 , 3.28 , 27.7542 , 1.8838 , 0.092195285537 , 2.99 , 33.9757 , 2.5336 , 0.094301 , 3.28 , 27.7542 , 1.8838 , 0.097737 , 3.25 , 28.7502 , 1.9874 , 
10 , 0.115384615384615 , 90 , svt , 0.8 , YES , 15 , 112 , OFF , 2 , OFF , OS1 , DesignWare , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 42277 , FPMult_unq1 , FPMult , 40917 , 88 , 30 , 40972 , 0 , 42277 , 0 , 42958 , 0 , 0 , 7.10 , 0 , 4.68 , 0.9 , 41005 , svt , 0.06971 , 7.10 , 31.1938 , 1.3068 , 0.064898619272 , 5.39 , 24.1823 , 1.5721 , 0.06971 , 7.10 , 31.1938 , 1.3068 , 0.070469 , 6.95 , 30.8239 , 1.3328 , 
10 , 0.115384615384615 , 90 , svt , 0.8 , YES , 15 , 112 , OFF , 2 , OFF , OS1 , DesignWare , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 41357 , FPMult_unq1 , FPMult , 9258 , 88 , 30 , 40613 , 0 , 41357 , 0 , 42372 , 0 , 0 , 8.41 , 0 , 5.70804768294902 , 0.9 , 9346 , svt , 0.068907 , 8.41 , 30.4620 , 1.2525 , 0.065201850894 , 6.57 , 24.6240 , 1.6059 , 0.068907 , 8.41 , 30.4620 , 1.2525 , 0.070023 , 8.34 , 30.3333 , 1.2748 , 
10 , 0.115384615384615 , 90 , svt , 0.8 , YES , 15 , 112 , OFF , 2 , OFF , OS1 , DesignWare , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 40491 , FPMult_unq1 , FPMult , 9428 , 87 , 30 , 39932 , 0 , 40491 , 0 , 41326 , 0 , 0 , 9.42 , 0 , 6.54253179735335 , 0.9 , 9515 , svt , 0.068238 , 9.42 , 29.7456 , 1.2124 , 0.064036375969 , 7.52 , 23.7729 , 1.5292 , 0.068238 , 9.42 , 29.7456 , 1.2124 , 0.068818 , 9.57 , 29.6859 , 1.2062 , 
10 , 0.115384615384615 , 90 , svt , 0.8 , YES , 15 , 112 , OFF , 2 , OFF , OS1 , DesignWare , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 39873 , FPMult_unq1 , FPMult , 8725 , 91 , 30 , 39322 , 0 , 39873 , 0 , 40352 , 0 , 0 , 10.71 , 0 , 7.49901274427773 , 0.9 , 8816 , svt , 0.067695 , 10.71 , 29.6192 , 1.1729 , 0.063409097499 , 8.62 , 24.4075 , 1.5763 , 0.067695 , 10.71 , 29.6192 , 1.1729 , 0.068259 , 10.78 , 29.5330 , 1.1816 , 
10 , 0.115384615384615 , 90 , svt , 0.8 , YES , 15 , 112 , OFF , 2 , OFF , OS1 , DesignWare , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 38825 , FPMult_unq1 , FPMult , 8265 , 89 , 30 , 38309 , 0 , 38825 , 0 , 38862 , 0 , 0 , 12.29 , 0 , 8.59532576694371 , 0.9 , 8354 , svt , 0.066957 , 12.29 , 29.8614 , 1.1420 , 0.062947458609 , 9.87 , 23.0854 , 1.5018 , 0.066957 , 12.29 , 29.8614 , 1.1420 , 0.066914 , 12.28 , 28.9016 , 1.1403 , 
11 , 0.126373626373626 , 90 , svt , 0.8 , YES , 15 , 112 , OFF , 2 , OFF , OS1 , Sklansky , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 46063 , FPMult_unq1 , FPMult , 50877 , 94 , 30 , 40051 , 0 , 46063 , 0 , 45417 , 0 , 0 , 5.12 , 0 , 3.39 , 0.9 , 50971 , svt , 0.076271 , 5.12 , 36.8947 , 1.7865 , 0.065357435282 , 3.91 , 26.0448 , 1.7422 , 0.076271 , 5.12 , 36.8947 , 1.7865 , 0.07453 , 5.03 , 35.4340 , 1.7018 , 
11 , 0.126373626373626 , 90 , svt , 0.8 , YES , 15 , 112 , OFF , 2 , OFF , OS1 , Sklansky , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 33459 , FPMult_unq1 , FPMult , 9759 , 91 , 30 , 30140 , 0 , 33459 , 0 , 37022 , 0 , 0 , 6.03 , 0 , 4.00076540192696 , 0.9 , 9850 , svt , 0.067479 , 6.03 , 32.9510 , 1.6464 , 0.059981644402 , 4.62 , 24.5897 , 1.7254 , 0.067479 , 6.03 , 32.9510 , 1.6464 , 0.068282 , 6.20 , 33.2424 , 1.5672 , 
11 , 0.126373626373626 , 90 , svt , 0.8 , YES , 15 , 112 , OFF , 2 , OFF , OS1 , Sklansky , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 31341 , FPMult_unq1 , FPMult , 8240 , 91 , 30 , 30070 , 0 , 31341 , 0 , 33629 , 0 , 0 , 6.49 , 0 , 4.40940049621372 , 0.9 , 8331 , svt , 0.065134 , 6.49 , 31.2461 , 1.5400 , 0.05940128837 , 5.08 , 24.0547 , 1.6867 , 0.065134 , 6.49 , 31.2461 , 1.5400 , 0.065482 , 6.68 , 30.9697 , 1.4790 , 
11 , 0.126373626373626 , 90 , svt , 0.8 , YES , 15 , 112 , OFF , 2 , OFF , OS1 , Sklansky , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 31539 , FPMult_unq1 , FPMult , 7298 , 86 , 30 , 28527 , 0 , 31539 , 0 , 31313 , 0 , 0 , 7.03 , 0 , 4.85977326404722 , 0.9 , 7384 , svt , 0.063312 , 7.03 , 31.0431 , 1.4698 , 0.057166829379 , 5.54 , 24.3423 , 1.6647 , 0.063312 , 7.03 , 31.0431 , 1.4698 , 0.063529 , 7.03 , 31.2719 , 1.4858 , 
