TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.top_Multiplier.Multiplier.Designware_MODE,TOP.top_Multiplier.Multiplier.MultP.BoothType,TOP.top_Multiplier.Multiplier.MultP.Designware_MODE,TOP.top_Multiplier.Multiplier.MultP.TreeType,TOP.top_Multiplier.Multiplier.PartialProductSum.AdderType,TOP.top_Multiplier.Multiplier.UseInc,TOP.top_Multiplier.Multiplier.Width,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
4 , 0.155172413793103 , 28 , OFF , 1 , OFF , Wallace , DesignWare , NO , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1377 , Multiplier_unq1 , Multiplier , 450 , 33 , 30 , 1336 , 0 , 1377 , 0 , 1344 , 0 , 0 , 0.83 , 0 , 1.07279768149593 , 0.9 , 483 , svt , 0.00195 , 0.83 , 0.8306876 , 0.0779225 , 0.002049415235 , 0.66 , 0.8343826 , 0.1069028 , 0.00195 , 0.83 , 0.8306876 , 0.0779225 , 0.001909 , 0.84 , 0.8396685 , 0.0772324 , 
4 , 0.155172413793103 , 28 , OFF , 1 , OFF , Wallace , DesignWare , NO , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1183 , Multiplier_unq1 , Multiplier , 391 , 35 , 30 , 1149 , 0 , 1183 , 0 , 1159 , 0 , 0 , 0.95 , 0 , 1.23752136066995 , 0.9 , 426 , svt , 0.001711 , 0.95 , 0.7103256 , 0.0612757 , 0.001677740429 , 0.76 , 0.6688086 , 0.0810134 , 0.001711 , 0.95 , 0.7103256 , 0.0612757 , 0.001664 , 0.95 , 0.7107549 , 0.0586246 , 
4 , 0.155172413793103 , 28 , OFF , 1 , OFF , Wallace , DesignWare , NO , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1122 , Multiplier_unq1 , Multiplier , 389 , 33 , 30 , 1120 , 0 , 1122 , 0 , 1121 , 0 , 0 , 1.10 , 0 , 1.42753768443915 , 0.9 , 422 , svt , 0.001647 , 1.10 , 0.6759301 , 0.0574111 , 0.001574722824 , 0.88 , 0.617434 , 0.0710245 , 0.001647 , 1.10 , 0.6759301 , 0.0574111 , 0.001612 , 1.11 , 0.679269 , 0.053351 , 
9 , 0.327586206896552 , 28 , OFF , 2 , OFF , OS1 , DesignWare , NO , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1539 , Multiplier_unq1 , Multiplier , 1550 , 36 , 30 , 1444 , 0 , 1539 , 0 , 1511 , 0 , 0 , 0.69 , 0 , 0.87 , 0.9 , 1586 , svt , 0.002361 , 0.69 , 1.2558 , 0.1086649 , 0.002140614041 , 0.57 , 0.9864893 , 0.1133137 , 0.002361 , 0.69 , 1.2558 , 0.1086649 , 0.00219 , 0.69 , 1.0951 , 0.0978341 , 
9 , 0.327586206896552 , 28 , OFF , 2 , OFF , OS1 , DesignWare , NO , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1225 , Multiplier_unq1 , Multiplier , 446 , 36 , 30 , 1139 , 0 , 1225 , 0 , 1179 , 0 , 0 , 0.80 , 0 , 1.02957346789139 , 0.9 , 482 , svt , 0.001699 , 0.80 , 0.858511 , 0.0646506 , 0.001617411631 , 0.63 , 0.7504092 , 0.0806516 , 0.001699 , 0.80 , 0.858511 , 0.0646506 , 0.001668 , 0.80 , 0.8205747 , 0.0633017 , 
9 , 0.327586206896552 , 28 , OFF , 2 , OFF , OS1 , DesignWare , NO , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1071 , Multiplier_unq1 , Multiplier , 402 , 35 , 30 , 1042 , 0 , 1071 , 0 , 1030 , 0 , 0 , 0.93 , 0 , 1.19103542223136 , 0.9 , 437 , svt , 0.001513 , 0.93 , 0.7410981 , 0.0523796 , 0.001449126022 , 0.73 , 0.6515232 , 0.0679775 , 0.001513 , 0.93 , 0.7410981 , 0.0523796 , 0.001497 , 0.95 , 0.7281099 , 0.054523 , 
9 , 0.327586206896552 , 28 , OFF , 2 , OFF , OS1 , DesignWare , NO , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 995 , Multiplier_unq1 , Multiplier , 400 , 34 , 30 , 995 , 0 , 995 , 0 , 996 , 0 , 0 , 1.09 , 0 , 1.37781850567217 , 0.9 , 434 , svt , 0.00146 , 1.09 , 0.7099004 , 0.0493217 , 0.001470294025 , 0.85 , 0.6600502 , 0.0699148 , 0.00146 , 1.09 , 0.7099004 , 0.0493217 , 0.001484 , 1.08 , 0.7022469 , 0.0506011 , 
9 , 0.327586206896552 , 28 , OFF , 2 , OFF , OS1 , DesignWare , NO , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 677 , Multiplier_unq1 , Multiplier , 361 , 35 , 30 , 675 , 0 , 677 , 0 , 641 , 0 , 0 , 3.82 , 1 , 20 , 0.9 , 396 , svt , 0.001274 , 3.82 , 0.5130369 , 0.0327415 , 0.001204459196 , 2.95 , 0.4296008 , 0.0408796 , 0.001274 , 3.82 , 0.5130369 , 0.0327415 , 0.001252 , 3.87 , 0.512671 , 0.0324611 , 
9 , 0.327586206896552 , 28 , OFF , 2 , OFF , OS1 , DesignWare , NO , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 677 , Multiplier_unq1 , Multiplier , 361 , 35 , 30 , 675 , 0 , 677 , 0 , 641 , 0 , 0 , 5.43 , 0 , 20 , 0.9 , 396 , svt , 0.001274 , 5.43 , 0.4074384 , 0.0240412 , 0.001204459196 , 4.25 , 0.3417218 , 0.0299575 , 0.001274 , 5.43 , 0.4074384 , 0.0240412 , 0.001252 , 5.52 , 0.4070777 , 0.023835 , 
10 , 0.362068965517241 , 28 , OFF , 2 , OFF , OS1 , Sklansky , NO , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1480 , Multiplier_unq1 , Multiplier , 1407 , 39 , 30 , 1381 , 0 , 1480 , 0 , 1552 , 0 , 0 , 0.75 , 0 , 0.95 , 0.9 , 1446 , svt , 0.002215 , 0.75 , 1.0798 , 0.1018474 , 0.002112566437 , 0.65 , 0.9333539 , 0.1129911 , 0.002215 , 0.75 , 1.0798 , 0.1018474 , 0.002239 , 0.76 , 1.0701 , 0.1006317 , 
