TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.VT,TOP.Voltage,TOP.top_Multiplier.Multiplier.Designware_MODE,TOP.top_Multiplier.Multiplier.MultP.BoothType,TOP.top_Multiplier.Multiplier.MultP.Designware_MODE,TOP.top_Multiplier.Multiplier.MultP.TreeType,TOP.top_Multiplier.Multiplier.PartialProductSum.AdderType,TOP.top_Multiplier.Multiplier.UseInc,TOP.top_Multiplier.Multiplier.Width,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
11 , 0.130681818181818 , 87 , svt , 0.8 , OFF , 2 , OFF , OS1 , Sklansky , NO , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 10902 , Multiplier_unq1 , Multiplier , 2508 , 54 , 30 , 10575 , 0 , 10902 , 0 , 11351 , 0 , 0 , 3.11 , 0 , 2.09942120394021 , 0.9 , 2562 , svt , 0.020139 , 3.11 , 8.7800 , 0.4602467 , 0.018556221664 , 2.40 , 7.3617 , 0.5143264 , 0.020139 , 3.11 , 8.7800 , 0.4602467 , 0.020294 , 3.14 , 9.2256 , 0.4579437 , 
11 , 0.130681818181818 , 87 , svt , 0.8 , OFF , 2 , OFF , OS1 , Sklansky , NO , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 9374 , Multiplier_unq1 , Multiplier , 2314 , 54 , 30 , 9085 , 0 , 9374 , 0 , 10467 , 0 , 0 , 3.34 , 0 , 2.26104955808685 , 0.9 , 2368 , svt , 0.019238 , 3.34 , 8.5434 , 0.4576201 , 0.017662049889 , 2.59 , 7.2681 , 0.5176602 , 0.019238 , 3.34 , 8.5434 , 0.4576201 , 0.019624 , 3.24 , 9.0549 , 0.4500963 , 
11 , 0.130681818181818 , 87 , svt , 0.8 , OFF , 2 , OFF , OS1 , Sklansky , NO , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 8676 , Multiplier_unq1 , Multiplier , 2098 , 54 , 30 , 8459 , 0 , 8676 , 0 , 9863 , 0 , 0 , 3.45 , 0 , 2.43512121080318 , 0.9 , 2152 , svt , 0.018852 , 3.45 , 8.4628 , 0.4555758 , 0.017325478616 , 2.79 , 7.2442 , 0.5221238 , 0.018852 , 3.45 , 8.4628 , 0.4555758 , 0.019238 , 3.62 , 8.9603 , 0.4477448 , 
11 , 0.130681818181818 , 87 , svt , 0.8 , OFF , 2 , OFF , OS1 , Sklansky , NO , 64 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 8525 , Multiplier_unq1 , Multiplier , 2043 , 65 , 30 , 8452 , 0 , 8525 , 0 , 8323 , 0 , 0 , 5.42 , 0 , 40 , 0.9 , 2108 , svt , 0.01826 , 5.42 , 8.2234 , 0.4145674 , 0.017269559816 , 3.17 , 7.1914 , 0.5180268 , 0.01826 , 5.42 , 8.2234 , 0.4145674 , 0.018135 , 5.54 , 8.5260 , 0.4144309 , 
12 , 0.142045454545455 , 87 , svt , 0.8 , OFF , 2 , OFF , Wallace , DesignWare , NO , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 13965 , Multiplier_unq1 , Multiplier , 12974 , 59 , 30 , 13935 , 0 , 13965 , 0 , 16046 , 0 , 0 , 2.31 , 0 , 1.59 , 0.9 , 13033 , svt , 0.023417 , 2.31 , 9.3442 , 0.5468188 , 0.021721719997 , 1.83 , 8.3816 , 0.5905741 , 0.023417 , 2.31 , 9.3442 , 0.5468188 , 0.02511 , 2.36 , 10.5666 , 0.6032876 , 
12 , 0.142045454545455 , 87 , svt , 0.8 , OFF , 2 , OFF , Wallace , DesignWare , NO , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 12444 , Multiplier_unq1 , Multiplier , 3319 , 45 , 30 , 12081 , 0 , 12444 , 0 , 13153 , 0 , 0 , 2.87 , 0 , 1.96380382541993 , 0.9 , 3364 , svt , 0.02122 , 2.87 , 9.1677 , 0.4743248 , 0.019035853467 , 2.25 , 7.0577 , 0.4773251 , 0.02122 , 2.87 , 9.1677 , 0.4743248 , 0.021511 , 2.87 , 9.2669 , 0.4644849 , 
12 , 0.142045454545455 , 87 , svt , 0.8 , OFF , 2 , OFF , Wallace , DesignWare , NO , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 12202 , Multiplier_unq1 , Multiplier , 2854 , 46 , 30 , 11993 , 0 , 12202 , 0 , 12880 , 0 , 0 , 3.41 , 0 , 2.3515399175207 , 0.9 , 2900 , svt , 0.020506 , 3.41 , 8.6410 , 0.4313201 , 0.018991224264 , 2.70 , 7.0893 , 0.4817491 , 0.020506 , 3.41 , 8.6410 , 0.4313201 , 0.021062 , 3.58 , 9.1256 , 0.4474848 , 
12 , 0.142045454545455 , 87 , svt , 0.8 , OFF , 2 , OFF , Wallace , DesignWare , NO , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 10276 , Multiplier_unq1 , Multiplier , 1973 , 48 , 30 , 10190 , 0 , 10276 , 0 , 10279 , 0 , 0 , 8.21 , 0 , 5.78926758488999 , 0.9 , 2021 , svt , 0.018774 , 8.21 , 7.6617 , 0.3491907 , 0.017668929663 , 6.62 , 6.8676 , 0.4753956 , 0.018774 , 8.21 , 7.6617 , 0.3491907 , 0.018826 , 8.29 , 7.9517 , 0.358509 , 
13 , 0.153409090909091 , 87 , svt , 0.8 , OFF , 2 , OFF , Wallace , Sklansky , NO , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 12378 , Multiplier_unq1 , Multiplier , 3148 , 49 , 30 , 11893 , 0 , 12378 , 0 , 13215 , 0 , 0 , 2.82 , 0 , 1.88995462539662 , 0.9 , 3197 , svt , 0.021273 , 2.82 , 9.0685 , 0.4754653 , 0.0195160142 , 2.17 , 7.5823 , 0.5235637 , 0.021273 , 2.82 , 9.0685 , 0.4754653 , 0.022226 , 2.75 , 9.7843 , 0.5081909 , 
13 , 0.153409090909091 , 87 , svt , 0.8 , OFF , 2 , OFF , Wallace , Sklansky , NO , 64 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 11041 , Multiplier_unq1 , Multiplier , 2864 , 49 , 30 , 10566 , 0 , 11041 , 0 , 11966 , 0 , 0 , 2.94 , 0 , 2.01803869268819 , 0.9 , 2913 , svt , 0.02048 , 2.94 , 8.7843 , 0.4738551 , 0.018601027252 , 2.31 , 7.4069 , 0.5143058 , 0.02048 , 2.94 , 8.7843 , 0.4738551 , 0.021062 , 2.89 , 9.6322 , 0.4829207 , 
