TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.top_MultiplierP.MultiplierP.BoothType,TOP.top_MultiplierP.MultiplierP.Designware_MODE,TOP.top_MultiplierP.MultiplierP.TreeType,TOP.top_MultiplierP.MultiplierP.Width,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
4 , 0.28125 , 15 , 2 , OFF , Array , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 662 , MultiplierP_unq1 , MultiplierP , 371 , 32 , 30 , 662 , 0 , 662 , 0 , 626 , 0 , 0 , 1.06 , 0 , 1.42395346516105 , 0.9 , 403 , svt , 0.00114 , 1.06 , 0.5376279 , 0.0352534 , 0.001076392801 , 0.86 , 0.4571086 , 0.0454131 , 0.00114 , 1.06 , 0.5376279 , 0.0352534 , 0.001118 , 1.09 , 0.5588486 , 0.0353037 , 
4 , 0.28125 , 15 , 2 , OFF , Array , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 660 , MultiplierP_unq1 , MultiplierP , 476 , 32 , 30 , 660 , 0 , 660 , 0 , 625 , 0 , 0 , 1.12 , 0 , 1.51881684661479 , 0.9 , 508 , svt , 0.001133 , 1.12 , 0.5354818 , 0.0352313 , 0.001074805201 , 0.91 , 0.4579737 , 0.0456055 , 0.001133 , 1.12 , 0.5354818 , 0.0352313 , 0.001111 , 1.17 , 0.5635201 , 0.0351751 , 
4 , 0.28125 , 15 , 2 , OFF , Array , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 578 , MultiplierP_unq1 , MultiplierP , 380 , 33 , 30 , 566 , 0 , 578 , 0 , 544 , 0 , 0 , 1.25 , 1 , 1.25163177218776 , 0.9 , 413 , svt , 0.001111 , 1.25 , 0.4714202 , 0.0328083 , 0.001051343992 , 1.00 , 0.4172938 , 0.0418798 , 0.001111 , 1.25 , 0.4714202 , 0.0328083 , 0.001096 , 1.25 , 0.4878933 , 0.0330034 , 
5 , 0.34375 , 15 , 2 , OFF , OS1 , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1015 , MultiplierP_unq1 , MultiplierP , 1102 , 33 , 30 , 1022 , 0 , 1015 , 0 , 1091 , 0 , 0 , 0.49 , 0 , 0.63 , 0.9 , 1135 , svt , 0.001541 , 0.49 , 0.6853637 , 0.0645834 , 0.001595538031 , 0.40 , 0.6213735 , 0.0849002 , 0.001541 , 0.49 , 0.6853637 , 0.0645834 , 0.001622 , 0.50 , 0.7460482 , 0.0703036 , 
5 , 0.34375 , 15 , 2 , OFF , OS1 , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 855 , MultiplierP_unq1 , MultiplierP , 449 , 33 , 30 , 851 , 0 , 855 , 0 , 896 , 0 , 0 , 0.52 , 0 , 0.673042482160747 , 0.9 , 482 , svt , 0.00135 , 0.52 , 0.6079331 , 0.0523697 , 0.001331996423 , 0.41 , 0.5339172 , 0.0682549 , 0.00135 , 0.52 , 0.6079331 , 0.0523697 , 0.00142 , 0.53 , 0.662308 , 0.0596217 , 
5 , 0.34375 , 15 , 2 , OFF , OS1 , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 792 , MultiplierP_unq1 , MultiplierP , 436 , 33 , 30 , 788 , 0 , 792 , 0 , 821 , 0 , 0 , 0.56 , 0 , 0.719025686973173 , 0.9 , 469 , svt , 0.001296 , 0.56 , 0.5930062 , 0.0512719 , 0.001259672415 , 0.44 , 0.5231831 , 0.0661131 , 0.001296 , 0.56 , 0.5930062 , 0.0512719 , 0.001327 , 0.56 , 0.6257202 , 0.0538706 , 
5 , 0.34375 , 15 , 2 , OFF , OS1 , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 700 , MultiplierP_unq1 , MultiplierP , 476 , 34 , 30 , 695 , 0 , 700 , 0 , 714 , 0 , 0 , 0.59 , 0 , 0.768150528726604 , 0.9 , 510 , svt , 0.001203 , 0.59 , 0.5554141 , 0.0455787 , 0.001144483207 , 0.47 , 0.4751919 , 0.0575407 , 0.001203 , 0.59 , 0.5554141 , 0.0455787 , 0.001241 , 0.60 , 0.5949053 , 0.050074 , 
5 , 0.34375 , 15 , 2 , OFF , OS1 , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 598 , MultiplierP_unq1 , MultiplierP , 415 , 34 , 30 , 593 , 0 , 598 , 0 , 636 , 0 , 0 , 0.63 , 0 , 0.820631648455942 , 0.9 , 449 , svt , 0.00114 , 0.63 , 0.5404731 , 0.0443797 , 0.001067925595 , 0.50 , 0.4606179 , 0.0554815 , 0.00114 , 0.63 , 0.5404731 , 0.0443797 , 0.001164 , 0.64 , 0.5711942 , 0.0456304 , 
5 , 0.34375 , 15 , 2 , OFF , OS1 , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 559 , MultiplierP_unq1 , MultiplierP , 370 , 34 , 30 , 555 , 0 , 559 , 0 , 581 , 0 , 0 , 0.67 , 0 , 0.876698351772147 , 0.9 , 404 , svt , 0.001111 , 0.67 , 0.5447865 , 0.0450122 , 0.001040230791 , 0.54 , 0.4552102 , 0.0549545 , 0.001111 , 0.67 , 0.5447865 , 0.0450122 , 0.001126 , 0.67 , 0.5610165 , 0.0453466 , 
5 , 0.34375 , 15 , 2 , OFF , OS1 , 16 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 623 , MultiplierP_unq1 , MultiplierP , 396 , 33 , 30 , 623 , 0 , 623 , 0 , 610 , 0 , 0 , 0.71 , 0 , 0.936595610766606 , 0.9 , 429 , svt , 0.001133 , 0.71 , 0.512764 , 0.0385649 , 0.001070747998 , 0.58 , 0.4289949 , 0.0483128 , 0.001133 , 0.71 , 0.512764 , 0.0385649 , 0.001133 , 0.72 , 0.5333544 , 0.0390439 , 
