TOP.DesignIndex,TOP.Color,TOP.DesignCount,TOP.VT,TOP.Voltage,TOP.top_MultiplierP.MultiplierP.BoothType,TOP.top_MultiplierP.MultiplierP.Designware_MODE,TOP.top_MultiplierP.MultiplierP.TreeType,TOP.top_MultiplierP.MultiplierP.Width,STAT_Comp_Good,STAT_Mapped_Timing_Good,STAT_Optimized_Timing_Good,STAT_Pareto,STAT_Routed_Timing_Good,STAT_Run_Good,STAT_Synthesis_Good,STAT_Timing_Good,INFO_Comb_Cell_Count,INFO_DESIGN,INFO_DESIGN_NAME,INFO_EvalTime,INFO_GenTime,INFO_IO2CORE,INFO_Mapped_Comb_Cell_Count,INFO_Mapped_Seq_Cell_Count,INFO_Optimized_Comb_Cell_Count,INFO_Optimized_Seq_Cell_Count,INFO_Routed_Comb_Cell_Count,INFO_Routed_Seq_Cell_Count,INFO_Seq_Cell_Count,INFO_Suggest_Delay,INFO_TARGET,INFO_TARGET_DELAY,INFO_TARGET_VOLTAGE,INFO_TotalRunTime,INFO_VT,COST_Area,COST_Delay,COST_Dyn_Energy,COST_Leak_Power,COST_Mapped_Area,COST_Mapped_Delay,COST_Mapped_Dyn_Energy,COST_Mapped_Leak_Power,COST_Optimized_Area,COST_Optimized_Delay,COST_Optimized_Dyn_Energy,COST_Optimized_Leak_Power,COST_Routed_Area,COST_Routed_Delay,COST_Routed_Dyn_Energy,COST_Routed_Leak_Power,
0 , 0.00367647058823529 , 135 , hvt , 0.8 , 1 , OFF , Array , 24 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2079 , MultiplierP_unq1 , MultiplierP , 462 , 33 , 30 , 2079 , 0 , 2079 , 0 , 2077 , 0 , 0 , 8.38 , 1 , 20 , 0.8 , 495 , hvt , 0.003137 , 8.38 , 0.8722382 , 0.0116231 , 0.00297445683 , 7.47 , 0.726951 , 0.0120254 , 0.003137 , 8.38 , 0.8722382 , 0.0116231 , 0.003137 , 8.61 , 0.9065073 , 0.0116427 , 
5 , 0.0404411764705882 , 135 , hvt , 0.8 , 2 , OFF , OS1 , 24 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 1554 , MultiplierP_unq1 , MultiplierP , 558 , 38 , 30 , 1562 , 0 , 1554 , 0 , 1658 , 0 , 0 , 1.80 , 1 , 1.78505371056084 , 0.8 , 596 , hvt , 0.002762 , 1.80 , 0.9222055 , 0.0183678 , 0.002702448028 , 1.43 , 0.8082559 , 0.022701 , 0.002762 , 1.80 , 0.9222055 , 0.0183678 , 0.002847 , 1.93 , 1.0111 , 0.0199404 , 
5 , 0.0404411764705882 , 135 , hvt , 0.8 , 2 , OFF , OS1 , 24 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 1452 , MultiplierP_unq1 , MultiplierP , 509 , 35 , 30 , 1450 , 0 , 1452 , 0 , 1495 , 0 , 0 , 1.93 , 1 , 1.915627588941 , 0.8 , 544 , hvt , 0.002646 , 1.93 , 0.9037299 , 0.0175653 , 0.00252763561 , 1.53 , 0.7700132 , 0.0213226 , 0.002646 , 1.93 , 0.9037299 , 0.0175653 , 0.002667 , 1.99 , 0.9534935 , 0.0181541 , 
5 , 0.0404411764705882 , 135 , hvt , 0.8 , 2 , OFF , OS1 , 24 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1159 , MultiplierP_unq1 , MultiplierP , 477 , 36 , 30 , 1149 , 0 , 1159 , 0 , 1222 , 0 , 0 , 2.05 , 1 , 2.05575274166904 , 0.8 , 513 , hvt , 0.002497 , 2.05 , 0.8816688 , 0.017823 , 0.002348589577 , 1.64 , 0.7415982 , 0.0210015 , 0.002497 , 2.05 , 0.8816688 , 0.017823 , 0.002497 , 2.06 , 0.8858228 , 0.0175281 , 
5 , 0.0404411764705882 , 135 , hvt , 0.8 , 2 , OFF , OS1 , 24 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1133 , MultiplierP_unq1 , MultiplierP , 460 , 35 , 30 , 1137 , 0 , 1133 , 0 , 1148 , 0 , 0 , 2.20 , 1 , 2.20612782947861 , 0.8 , 495 , hvt , 0.002444 , 2.20 , 0.8587466 , 0.0171241 , 0.002294434776 , 1.76 , 0.7273338 , 0.0203831 , 0.002444 , 2.20 , 0.8587466 , 0.0171241 , 0.002434 , 2.20 , 0.8572958 , 0.0168009 , 
5 , 0.0404411764705882 , 135 , hvt , 0.8 , 2 , OFF , OS1 , 24 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1130 , MultiplierP_unq1 , MultiplierP , 450 , 34 , 30 , 1127 , 0 , 1130 , 0 , 1137 , 0 , 0 , 2.36 , 1 , 2.36750261903995 , 0.8 , 484 , hvt , 0.002414 , 2.36 , 0.8528582 , 0.0166857 , 0.002277500377 , 1.89 , 0.7257631 , 0.0202434 , 0.002414 , 2.36 , 0.8528582 , 0.0166857 , 0.002414 , 2.38 , 0.8971048 , 0.0166601 , 
5 , 0.0404411764705882 , 135 , hvt , 0.8 , 2 , OFF , OS1 , 24 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 1127 , MultiplierP_unq1 , MultiplierP , 434 , 36 , 30 , 1125 , 0 , 1127 , 0 , 1099 , 0 , 0 , 2.55 , 1 , 2.54068172127891 , 0.8 , 470 , hvt , 0.002404 , 2.55 , 0.8480209 , 0.016328 , 0.002273972376 , 1.95 , 0.7236072 , 0.0201726 , 0.002404 , 2.55 , 0.8480209 , 0.016328 , 0.002394 , 2.54 , 0.8496447 , 0.0164336 , 
5 , 0.0404411764705882 , 135 , hvt , 0.8 , 2 , OFF , OS1 , 24 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1125 , MultiplierP_unq1 , MultiplierP , 433 , 34 , 30 , 1125 , 0 , 1125 , 0 , 1094 , 0 , 0 , 2.68 , 1 , 2.72652860314823 , 0.8 , 467 , hvt , 0.002394 , 2.68 , 0.8507093 , 0.016285 , 0.002273972376 , 2.00 , 0.7234306 , 0.0201725 , 0.002394 , 2.68 , 0.8507093 , 0.016285 , 0.002383 , 2.75 , 0.8862719 , 0.0164057 , 
5 , 0.0404411764705882 , 135 , hvt , 0.8 , 2 , OFF , OS1 , 24 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1125 , MultiplierP_unq1 , MultiplierP , 430 , 34 , 30 , 1125 , 0 , 1125 , 0 , 1090 , 0 , 0 , 2.82 , 1 , 2.92596989285355 , 0.8 , 464 , hvt , 0.002394 , 2.82 , 0.8545602 , 0.0162879 , 0.002273972376 , 2.00 , 0.7234306 , 0.0201725 , 0.002394 , 2.82 , 0.8545602 , 0.0162879 , 0.002383 , 2.83 , 0.8814448 , 0.016296 , 
5 , 0.0404411764705882 , 135 , hvt , 0.8 , 2 , OFF , OS1 , 24 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1125 , MultiplierP_unq1 , MultiplierP , 414 , 36 , 30 , 1125 , 0 , 1125 , 0 , 1078 , 0 , 0 , 3.14 , 1 , 20 , 0.8 , 450 , hvt , 0.002394 , 3.14 , 0.8639084 , 0.0162657 , 0.002273972376 , 2.00 , 0.7234306 , 0.0201725 , 0.002394 , 3.14 , 0.8639084 , 0.0162657 , 0.002373 , 3.42 , 0.8943845 , 0.0162231 , 
6 , 0.0477941176470588 , 135 , hvt , 0.8 , 2 , OFF , Wallace , 24 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1148 , MultiplierP_unq1 , MultiplierP , 436 , 33 , 30 , 1148 , 0 , 1148 , 0 , 1127 , 0 , 0 , 2.55 , 1 , 2.64163957641496 , 0.8 , 469 , hvt , 0.002414 , 2.55 , 0.8608989 , 0.0163851 , 0.002289142777 , 1.84 , 0.7248463 , 0.020266 , 0.002414 , 2.55 , 0.8608989 , 0.0163851 , 0.002404 , 2.65 , 0.8508902 , 0.0164406 , 
7 , 0.0551470588235294 , 135 , hvt , 0.8 , 2 , OFF , ZM , 24 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 1406 , MultiplierP_unq1 , MultiplierP , 485 , 37 , 30 , 1403 , 0 , 1406 , 0 , 1428 , 0 , 0 , 2.10 , 1 , 2.09220384647233 , 0.8 , 522 , hvt , 0.002603 , 2.10 , 0.8828245 , 0.0168886 , 0.002516698808 , 1.67 , 0.7718284 , 0.0212753 , 0.002603 , 2.10 , 0.8828245 , 0.0168886 , 0.002614 , 2.14 , 0.9246284 , 0.0176081 , 
