top_FPGen.FPGen.Architecture , top_FPGen.FPGen.CMA.EnableDenormals , top_FPGen.FPGen.CMA.EnableForwarding , top_FPGen.FPGen.CMA.EnableMultiplePumping , top_FPGen.FPGen.CMA.ExponentWidth , top_FPGen.FPGen.CMA.FractionWidth , top_FPGen.FPGen.CMA.MUL.Mult.MultP.BoothType , top_FPGen.FPGen.CMA.MUL.Mult.MultP.Designware_MODE , top_FPGen.FPGen.CMA.MUL.Mult.MultP.TreeType , top_FPGen.FPGen.CMA.MulPipelineDepth , top_FPGen.FPGen.CMA.PipelineDepth , top_FPGen.FPGen.DW_FMA.EnableDenormals , top_FPGen.FPGen.DW_FMA.EnableForwarding , top_FPGen.FPGen.DW_FMA.ExponentWidth , top_FPGen.FPGen.DW_FMA.FractionWidth , top_FPGen.FPGen.DW_FMA.PipelineDepth , top_FPGen.FPGen.FMA.EnableDenormals , top_FPGen.FPGen.FMA.EnableForwarding , top_FPGen.FPGen.FMA.EnableMultiplePumping , top_FPGen.FPGen.FMA.ExponentWidth , top_FPGen.FPGen.FMA.FractionWidth , top_FPGen.FPGen.FMA.MulShift.MUL0.BoothType , top_FPGen.FPGen.FMA.MulShift.MUL0.Designware_MODE , top_FPGen.FPGen.FMA.MulShift.MUL0.TreeType , top_FPGen.FPGen.FMA.MulpPipelineDepth , top_FPGen.FPGen.FMA.PipelineDepth , top_FPGen.FPGen.FMA.Retiming , top_FPGen.FPGen.FMA.SmartRetiming , TOP_RP , TOP_VT , TOP_Voltage , COST_Mapped_Add_Dyn_Energy_pJ , COST_Mapped_Add_Dyn_Power_mW , COST_Mapped_Add_Leak_Power_mW , COST_Mapped_Avg_Dyn_Energy_pJ , COST_Mapped_Avg_Dyn_Power_mW , COST_Mapped_Avg_Leak_Power_mW , COST_Mapped_Cell_Area_mmsq , COST_Mapped_Clk_Period_nS , COST_Mapped_Comb_Area_mmsq , COST_Mapped_Core_Area_mmsq , COST_Mapped_MulAdd_Dyn_Energy_pJ , COST_Mapped_MulAdd_Dyn_Power_mW , COST_Mapped_MulAdd_Leak_Power_mW , COST_Mapped_Mul_Dyn_Energy_pJ , COST_Mapped_Mul_Dyn_Power_mW , COST_Mapped_Mul_Leak_Power_mW , COST_Mapped_Net_Area_mmsq , COST_Mapped_NonComb_Area_mmsq , COST_Mapped__Area_mmsq , COST_Mapped__u_CompoundAdder_Add_Dyn_Energy_pJ , COST_Mapped__u_CompoundAdder_Add_Dyn_Power_mW , COST_Mapped__u_CompoundAdder_Add_Leak_Power_mW , COST_Mapped__u_CompoundAdder_Avg_Dyn_Energy_pJ , COST_Mapped__u_CompoundAdder_Avg_Dyn_Power_mW , COST_Mapped__u_CompoundAdder_Avg_Leak_Power_mW , COST_Mapped__u_CompoundAdder_MulAdd_Dyn_Energy_pJ , COST_Mapped__u_CompoundAdder_MulAdd_Dyn_Power_mW , COST_Mapped__u_CompoundAdder_MulAdd_Leak_Power_mW , COST_Mapped__u_CompoundAdder_Mul_Dyn_Energy_pJ , COST_Mapped__u_CompoundAdder_Mul_Dyn_Power_mW , COST_Mapped__u_CompoundAdder_Mul_Leak_Power_mW , COST_Mapped__u_CompoundAdder__Area_mmsq , COST_Mapped__u_LZA_Add_Dyn_Energy_pJ , COST_Mapped__u_LZA_Add_Dyn_Power_mW , COST_Mapped__u_LZA_Add_Leak_Power_mW , COST_Mapped__u_LZA_Avg_Dyn_Energy_pJ , COST_Mapped__u_LZA_Avg_Dyn_Power_mW , COST_Mapped__u_LZA_Avg_Leak_Power_mW , COST_Mapped__u_LZA_MulAdd_Dyn_Energy_pJ , COST_Mapped__u_LZA_MulAdd_Dyn_Power_mW , COST_Mapped__u_LZA_MulAdd_Leak_Power_mW , COST_Mapped__u_LZA_Mul_Dyn_Energy_pJ , COST_Mapped__u_LZA_Mul_Dyn_Power_mW , COST_Mapped__u_LZA_Mul_Leak_Power_mW , COST_Mapped__u_LZA__Area_mmsq , COST_Mapped__u_Pipelined_MultiplierP_Add_Dyn_Energy_pJ , COST_Mapped__u_Pipelined_MultiplierP_Add_Dyn_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_Add_Leak_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_Avg_Dyn_Energy_pJ , COST_Mapped__u_Pipelined_MultiplierP_Avg_Dyn_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_Avg_Leak_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_MulAdd_Dyn_Energy_pJ , COST_Mapped__u_Pipelined_MultiplierP_MulAdd_Dyn_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_MulAdd_Leak_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_Mul_Dyn_Energy_pJ , COST_Mapped__u_Pipelined_MultiplierP_Mul_Dyn_Power_mW , COST_Mapped__u_Pipelined_MultiplierP_Mul_Leak_Power_mW , COST_Mapped__u_Pipelined_MultiplierP__Area_mmsq , PERF_Mapped_Clk_Freq_Ghz
FMA ,,,,,,,,,,,,,,,, YES , YES , NO ,11,52,3, OFF , Wallace ,2,4,1,0, True , hvt,0.8,6.79,1.358,0.179,11.76,2.352,0.182,0.02314809,4.8476,0.020091255,0.02314809,14.395,2.879,0.182,14.395,2.879,0.182,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206287647
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,0.8,14.49325,115.946,5.69,24.454375,195.635,5.87,0.083247924,1.795,0.079498013,0.083247924,29.504375,236.035,5.85,29.504375,236.035,5.85,0,0.003749911,0.083247924,1.322875,10.583,0.248,1.56625,12.53,0.242,1.637875,13.103,0.24,1.637875,13.103,0.24,0.00206141,1.3265,10.612,0.26,1.654625,13.237,0.253,1.711625,13.693,0.25,1.711625,13.693,0.25,0.004046792,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.557103064
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,0.9,18.259875,146.079,7.91,30.85925,246.874,8.14,0.083247924,1.3584,0.079498013,0.083247924,37.24775,297.982,8.11,37.24775,297.982,8.11,0,0.003749911,0.083247924,1.672625,13.381,0.345,1.980375,15.843,0.336,2.070875,16.567,0.333,2.070875,16.567,0.333,0.00206141,1.674,13.392,0.36,2.088,16.704,0.349,2.159875,17.279,0.345,2.159875,17.279,0.345,0.004046792,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.736160188
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,1,22.593125,180.745,10.9,38.230625,305.845,11.2,0.083247924,1.1019,0.079498013,0.083247924,46.1605,369.284,11.1,46.1605,369.284,11.1,0,0.003749911,0.083247924,2.07475,16.598,0.473,2.456,19.648,0.46,2.568,20.544,0.456,2.568,20.544,0.456,0.00206141,2.0755,16.604,0.49,2.58825,20.706,0.475,2.6775,21.42,0.471,2.6775,21.42,0.471,0.004046792,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.907523369
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,0.8,14.19275,56.771,5.64,24.02875,96.115,5.82,0.083207705,1.8308,0.07971375,0.083207705,29.023,116.092,5.8,29.023,116.092,5.8,0,0.003493955,0.083207705,1.3195,5.278,0.252,1.57225,6.289,0.245,1.64625,6.585,0.242,1.64625,6.585,0.242,0.002131618,1.451,5.804,0.286,1.80375,7.215,0.278,1.869,7.476,0.276,1.869,7.476,0.276,0.004506844,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.546209307
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,0.9,17.884,71.536,7.86,30.325,121.3,8.07,0.083207705,1.3776,0.07971375,0.083207705,36.6425,146.57,8.04,36.6425,146.57,8.04,0,0.003493955,0.083207705,1.66825,6.673,0.35,1.988,7.952,0.34,2.0815,8.326,0.336,2.0815,8.326,0.336,0.002131618,1.831,7.324,0.396,2.27575,9.103,0.385,2.35825,9.433,0.381,2.35825,9.433,0.381,0.004506844,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.725900116
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,1,22.12975,88.519,10.8,37.56925,150.277,11.1,0.083207705,1.1154,0.07971375,0.083207705,45.41025,181.641,11,45.41025,181.641,11,0,0.003493955,0.083207705,2.06975,8.279,0.479,2.466,9.864,0.465,2.582,10.328,0.46,2.582,10.328,0.46,0.002131618,2.269,9.076,0.541,2.8205,11.282,0.525,2.9225,11.69,0.52,2.9225,11.69,0.52,0.004506844,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.896539358
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,0.8,12.722,25.444,5.46,22.475,44.95,5.61,0.079265518,1.779,0.075637146,0.079265518,27.439,54.878,5.6,27.439,54.878,5.6,0,0.003628372,0.079265518,1.277,2.554,0.241,1.504,3.008,0.234,1.57,3.14,0.232,1.57,3.14,0.232,0.00206141,1.5415,3.083,0.31,1.9345,3.869,0.299,2.0085,4.017,0.296,2.0085,4.017,0.296,0.004708116,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.562113547
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,0.9,16.0175,32.035,7.6,28.3525,56.705,7.79,0.079265518,1.3339,0.075637146,0.079265518,34.6305,69.261,7.76,34.6305,69.261,7.76,0,0.003628372,0.079265518,1.614,3.228,0.334,1.901,3.802,0.325,1.985,3.97,0.322,1.985,3.97,0.322,0.00206141,1.945,3.89,0.427,2.4405,4.881,0.413,2.534,5.068,0.409,2.534,5.068,0.409,0.004708116,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.749681385
FMA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , YES , YES , YES ,11,52,1, OFF , Wallace ,2,3,1,0, True , lvt ,1,19.809,39.618,10.5,35.115,70.23,10.7,0.079265518,1.0776,0.075637146,0.079265518,42.906,85.812,10.6,42.906,85.812,10.6,0,0.003628372,0.079265518,2.0015,4.003,0.458,2.357,4.714,0.445,2.4615,4.923,0.441,2.4615,4.923,0.441,0.00206141,2.41,4.82,0.583,3.023,6.046,0.564,3.1385,6.277,0.558,3.1385,6.277,0.558,0.004708116,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.927988122
