top_MultiplierP.MultiplierP.BoothType , top_MultiplierP.MultiplierP.Designware_MODE , top_MultiplierP.MultiplierP.ModifiedBooth , top_MultiplierP.MultiplierP.TreeType , top_MultiplierP.MultiplierP.UseMP , TOP_RP , TOP_VT , TOP_Voltage , COST_Avg_Dyn_Power_mW , COST_Avg_Leak_Power_mW , COST_Cell_Area_mmsq , COST_Clk_Period_nS , COST_Comb_Area_mmsq , COST_Core_Area_mmsq , COST_Mapped_Avg_Dyn_Energy_pJ , COST_Mapped_Avg_Dyn_Power_mW , COST_Mapped_Avg_Leak_Power_mW , COST_Mapped_Cell_Area_mmsq , COST_Mapped_Clk_Period_nS , COST_Mapped_Comb_Area_mmsq , COST_Mapped_Core_Area_mmsq , COST_Mapped_Net_Area_mmsq , COST_Mapped_NonComb_Area_mmsq , COST_Mapped__Area_mmsq , COST_Net_Area_mmsq , COST_NonComb_Area_mmsq , COST_Optimized_Avg_Dyn_Energy_pJ , COST_Optimized_Avg_Dyn_Power_mW , COST_Optimized_Avg_Leak_Power_mW , COST_Optimized_Cell_Area_mmsq , COST_Optimized_Clk_Period_nS , COST_Optimized_Comb_Area_mmsq , COST_Optimized_Core_Area_mmsq , COST_Optimized_Net_Area_mmsq , COST_Optimized_NonComb_Area_mmsq , COST_Routed_Avg_Dyn_Energy_pJ , COST_Routed_Avg_Dyn_Power_mW , COST_Routed_Avg_Leak_Power_mW , COST_Routed_Cell_Area_mmsq , COST_Routed_Clk_Period_nS , COST_Routed_Comb_Area_mmsq , COST_Routed_Core_Area_mmsq , COST_Routed_Net_Area_mmsq , COST_Routed_NonComb_Area_mmsq , COST_Routed__Area_mmsq , COST___Area_mmsq , PERF_Clk_Freq_Ghz , PERF_Mapped_Clk_Freq_Ghz , PERF_Optimized_Clk_Freq_Ghz , PERF_Routed_Clk_Freq_Ghz
1, OFF ,0, Wallace ,0, False , svt ,0.8,87.328,4.98,0.129589086,2.3173,0.129589086,0.129589086,95.3316,73.332,4.29,0.108837742,1.9233,0.108837742,0.108837742,0,0,0.108837742,0,0,119.3738,91.826,5.35,0.13244853,2.2746,0.13244853,0.13244853,0,0,113.5264,87.328,4.98,0.129589086,2.3173,0.129589086,0.129589086,0,0,0.129589086,0.129589086,0.431536702,0.519939687,0.439637739,0.431536702
1, OFF ,0, Wallace ,0, True , svt ,0.8,91.826,5.35,0.13244853,2.2746,0.13244853,0.13244853,95.3316,73.332,4.29,0.108837742,1.9233,0.108837742,0.108837742,0,0,0.108837742,0,0,119.3738,91.826,5.35,0.13244853,2.2746,0.13244853,0.13244853,0,0,113.5264,87.328,4.98,0.129589086,2.3173,0.129589086,0.129589086,0,0,0.129589086,  ,0.439637739,0.519939687,0.439637739,0.431536702
1, OFF ,0, Wallace ,0, False , svt ,0.9,110.088,6.84,0.129589086,1.6476,0.129589086,0.129589086,120.1746,92.442,5.88,0.108837742,1.3422,0.108837742,0.108837742,0,0,0.108837742,0,0,150.4815,115.755,7.36,0.13244853,1.6398,0.13244853,0.13244853,0,0,143.1144,110.088,6.84,0.129589086,1.6476,0.129589086,0.129589086,0,0,0.129589086,0.129589086,0.606943433,0.745045448,0.609830467,0.606943433
1, OFF ,0, Wallace ,0, True , svt ,0.9,115.755,7.36,0.13244853,1.6398,0.13244853,0.13244853,120.1746,92.442,5.88,0.108837742,1.3422,0.108837742,0.108837742,0,0,0.108837742,0,0,150.4815,115.755,7.36,0.13244853,1.6398,0.13244853,0.13244853,0,0,143.1144,110.088,6.84,0.129589086,1.6476,0.129589086,0.129589086,0,0,0.129589086,  ,0.609830467,0.745045448,0.609830467,0.606943433
1, OFF ,0, Wallace ,0, False , svt ,1,136.069,9.25,0.129589086,1.2852,0.129589086,0.129589086,148.6134,114.318,7.95,0.108837742,1.0501,0.108837742,0.108837742,0,0,0.108837742,0,0,185.9988,143.076,9.95,0.13244853,1.2975,0.13244853,0.13244853,0,0,176.8897,136.069,9.25,0.129589086,1.2852,0.129589086,0.129589086,0,0,0.129589086,0.129589086,0.778089013,0.952290258,0.770712909,0.778089013
1, OFF ,0, Wallace ,0, True , svt ,1,143.076,9.95,0.13244853,1.2975,0.13244853,0.13244853,148.6134,114.318,7.95,0.108837742,1.0501,0.108837742,0.108837742,0,0,0.108837742,0,0,185.9988,143.076,9.95,0.13244853,1.2975,0.13244853,0.13244853,0,0,176.8897,136.069,9.25,0.129589086,1.2852,0.129589086,0.129589086,0,0,0.129589086,  ,0.770712909,0.952290258,0.770712909,0.778089013
1, OFF ,0, Wallace ,0, False , svt ,0.8,75.934,4.57,0.122409958,2.143,0.122409958,0.122409958,88.6494,63.321,3.79,0.095066723,1.999,0.095066723,0.095066723,0,0,0.095066723,0,0,114.8826,82.059,5.41,0.128129728,2.1538,0.128129728,0.128129728,0,0,106.3076,75.934,4.57,0.122409958,2.143,0.122409958,0.122409958,0,0,0.122409958,0.122409958,0.466635558,0.500250125,0.464295663,0.466635558
1, OFF ,0, Wallace ,0, True , svt ,0.8,82.059,5.41,0.128129728,2.1538,0.128129728,0.128129728,88.6494,63.321,3.79,0.095066723,1.999,0.095066723,0.095066723,0,0,0.095066723,0,0,114.8826,82.059,5.41,0.128129728,2.1538,0.128129728,0.128129728,0,0,106.3076,75.934,4.57,0.122409958,2.143,0.122409958,0.122409958,0,0,0.122409958,  ,0.464295663,0.500250125,0.464295663,0.466635558
1, OFF ,0, Wallace ,0, False , svt ,0.9,95.692,6.27,0.122409958,1.5378,0.122409958,0.122409958,111.7032,79.788,5.2,0.095066723,1.4,0.095066723,0.095066723,0,0,0.095066723,0,0,144.7866,103.419,7.44,0.128129728,1.5528,0.128129728,0.128129728,0,0,133.9688,95.692,6.27,0.122409958,1.5378,0.122409958,0.122409958,0,0,0.122409958,0.122409958,0.65027962,0.714285714,0.643997939,0.65027962
1, OFF ,0, Wallace ,0, True , svt ,0.9,103.419,7.44,0.128129728,1.5528,0.128129728,0.128129728,111.7032,79.788,5.2,0.095066723,1.4,0.095066723,0.095066723,0,0,0.095066723,0,0,144.7866,103.419,7.44,0.128129728,1.5528,0.128129728,0.128129728,0,0,133.9688,95.692,6.27,0.122409958,1.5378,0.122409958,0.122409958,0,0,0.122409958,  ,0.643997939,0.714285714,0.643997939,0.65027962
