top_MultiplierP.MultiplierP.BoothType , top_MultiplierP.MultiplierP.Designware_MODE , top_MultiplierP.MultiplierP.ModifiedBooth , top_MultiplierP.MultiplierP.TreeType , top_MultiplierP.MultiplierP.UseMP , TOP_RP , TOP_VT , TOP_Voltage , COST_Avg_Dyn_Power_mW , COST_Avg_Leak_Power_mW , COST_Cell_Area_mmsq , COST_Clk_Period_nS , COST_Comb_Area_mmsq , COST_Core_Area_mmsq , COST_Mapped_Avg_Dyn_Energy_pJ , COST_Mapped_Avg_Dyn_Power_mW , COST_Mapped_Avg_Leak_Power_mW , COST_Mapped_Cell_Area_mmsq , COST_Mapped_Clk_Period_nS , COST_Mapped_Comb_Area_mmsq , COST_Mapped_Core_Area_mmsq , COST_Mapped_Net_Area_mmsq , COST_Mapped_NonComb_Area_mmsq , COST_Mapped__Area_mmsq , COST_Net_Area_mmsq , COST_NonComb_Area_mmsq , COST_Optimized_Avg_Dyn_Energy_pJ , COST_Optimized_Avg_Dyn_Power_mW , COST_Optimized_Avg_Leak_Power_mW , COST_Optimized_Cell_Area_mmsq , COST_Optimized_Clk_Period_nS , COST_Optimized_Comb_Area_mmsq , COST_Optimized_Core_Area_mmsq , COST_Optimized_Net_Area_mmsq , COST_Optimized_NonComb_Area_mmsq , COST_Routed_Avg_Dyn_Energy_pJ , COST_Routed_Avg_Dyn_Power_mW , COST_Routed_Avg_Leak_Power_mW , COST_Routed_Cell_Area_mmsq , COST_Routed_Clk_Period_nS , COST_Routed_Comb_Area_mmsq , COST_Routed_Core_Area_mmsq , COST_Routed_Net_Area_mmsq , COST_Routed_NonComb_Area_mmsq , COST_Routed__Area_mmsq , COST___Area_mmsq , PERF_Clk_Freq_Ghz , PERF_Mapped_Clk_Freq_Ghz , PERF_Optimized_Clk_Freq_Ghz , PERF_Routed_Clk_Freq_Ghz
1 , OFF , 0 , Wallace , 0 , False , svt , 0.8 , 2.362 , 0.0372 , 0.001189112419 , 0.7458 , 0.001189112419 , 0.001189112419 , 0.5673 , 1.891 , 0.0286 , 0.000913752016 , 0.7539 , 0.000913752016 , 0.000913752016 , 0 , 0 , 0.000913752 , 0 , 0 , 0.6234 , 2.078 , 0.0346 , 0.001038996021 , 0.7773 , 0.001038996021 , 0.001038996021 , 0 , 0 , 0.7086 , 2.362 , 0.0372 , 0.001189112419 , 0.7458 , 0.001189112419 , 0.001189112419 , 0 , 0 , 0.0011891124 , 0.0011891124 , 1.34084204881 , 1.32643586683 , 1.28650456709 , 1.34084204881
1 , OFF , 0 , Wallace , 0 , True , svt , 0.8 , 2.078 , 0.0346 , 0.001038996021 , 0.7773 , 0.001038996021 , 0.001038996021 , 0.5673 , 1.891 , 0.0286 , 0.000913752016 , 0.7539 , 0.000913752016 , 0.000913752016 , 0 , 0 , 0.000913752 , 0 , 0 , 0.6234 , 2.078 , 0.0346 , 0.001038996021 , 0.7773 , 0.001038996021 , 0.001038996021 , 0 , 0 , 0.7086 , 2.362 , 0.0372 , 0.001189112419 , 0.7458 , 0.001189112419 , 0.001189112419 , 0 , 0 , 0.0011891124 ,  , 1.28650456709 , 1.32643586683 , 1.28650456709 , 1.34084204881
1 , OFF , 0 , Wallace , 0 , False , svt , 0.9 , 2.974 , 0.0511 , 0.001189112419 , 0.5233 , 0.001189112419 , 0.001189112419 , 0.7149 , 2.383 , 0.0392 , 0.000913752016 , 0.5248 , 0.000913752016 , 0.000913752016 , 0 , 0 , 0.000913752 , 0 , 0 , 0.7854 , 2.618 , 0.0475 , 0.001038996021 , 0.5471 , 0.001038996021 , 0.001038996021 , 0 , 0 , 0.8922 , 2.974 , 0.0511 , 0.001189112419 , 0.5233 , 0.001189112419 , 0.001189112419 , 0 , 0 , 0.0011891124 , 0.0011891124 , 1.91094974202 , 1.90548780488 , 1.82781941144 , 1.91094974202
1 , OFF , 0 , Wallace , 0 , True , svt , 0.9 , 2.618 , 0.0475 , 0.001038996021 , 0.5471 , 0.001038996021 , 0.001038996021 , 0.7149 , 2.383 , 0.0392 , 0.000913752016 , 0.5248 , 0.000913752016 , 0.000913752016 , 0 , 0 , 0.000913752 , 0 , 0 , 0.7854 , 2.618 , 0.0475 , 0.001038996021 , 0.5471 , 0.001038996021 , 0.001038996021 , 0 , 0 , 0.8922 , 2.974 , 0.0511 , 0.001189112419 , 0.5233 , 0.001189112419 , 0.001189112419 , 0 , 0 , 0.0011891124 ,  , 1.82781941144 , 1.90548780488 , 1.82781941144 , 1.91094974202
1 , OFF , 0 , Wallace , 0 , False , svt , 1.0 , 3.675 , 0.069 , 0.001189112419 , 0.4025 , 0.001189112419 , 0.001189112419 , 0.8835 , 2.945 , 0.0528 , 0.000913752016 , 0.4001 , 0.000913752016 , 0.000913752016 , 0 , 0 , 0.000913752 , 0 , 0 , 0.9699 , 3.233 , 0.0642 , 0.001038996021 , 0.422 , 0.001038996021 , 0.001038996021 , 0 , 0 , 1.1025 , 3.675 , 0.069 , 0.001189112419 , 0.4025 , 0.001189112419 , 0.001189112419 , 0 , 0 , 0.0011891124 , 0.0011891124 , 2.48447204969 , 2.49937515621 , 2.36966824645 , 2.48447204969
1 , OFF , 0 , Wallace , 0 , True , svt , 1.0 , 3.233 , 0.0642 , 0.001038996021 , 0.422 , 0.001038996021 , 0.001038996021 , 0.8835 , 2.945 , 0.0528 , 0.000913752016 , 0.4001 , 0.000913752016 , 0.000913752016 , 0 , 0 , 0.000913752 , 0 , 0 , 0.9699 , 3.233 , 0.0642 , 0.001038996021 , 0.422 , 0.001038996021 , 0.001038996021 , 0 , 0 , 1.1025 , 3.675 , 0.069 , 0.001189112419 , 0.4025 , 0.001189112419 , 0.001189112419 , 0 , 0 , 0.0011891124 ,  , 2.36966824645 , 2.49937515621 , 2.36966824645 , 2.48447204969
1 , OFF , 0 , Wallace , 0 , False , svt , 0.8 , 1.965 , 0.0366 , 0.001142542817 , 0.7372 , 0.001142542817 , 0.001142542817 , 0.5572 , 1.592 , 0.0278 , 0.000885704416 , 0.7534 , 0.000885704416 , 0.000885704416 , 0 , 0 , 0.0008857044 , 0 , 0 , 0.66325 , 1.895 , 0.0368 , 0.001099148421 , 0.7682 , 0.001099148421 , 0.001099148421 , 0 , 0 , 0.68775 , 1.965 , 0.0366 , 0.001142542817 , 0.7372 , 0.001142542817 , 0.001142542817 , 0 , 0 , 0.0011425428 , 0.0011425428 , 1.35648399349 , 1.32731616671 , 1.30174433741 , 1.35648399349
1 , OFF , 0 , Wallace , 0 , True , svt , 0.8 , 1.895 , 0.0368 , 0.001099148421 , 0.7682 , 0.001099148421 , 0.001099148421 , 0.5572 , 1.592 , 0.0278 , 0.000885704416 , 0.7534 , 0.000885704416 , 0.000885704416 , 0 , 0 , 0.0008857044 , 0 , 0 , 0.66325 , 1.895 , 0.0368 , 0.001099148421 , 0.7682 , 0.001099148421 , 0.001099148421 , 0 , 0 , 0.68775 , 1.965 , 0.0366 , 0.001142542817 , 0.7372 , 0.001142542817 , 0.001142542817 , 0 , 0 , 0.0011425428 ,  , 1.30174433741 , 1.32731616671 , 1.30174433741 , 1.35648399349
1 , OFF , 0 , Wallace , 0 , False , svt , 0.9 , 2.475 , 0.0502 , 0.001142542817 , 0.5199 , 0.001142542817 , 0.001142542817 , 0.7021 , 2.006 , 0.038 , 0.000885704416 , 0.5247 , 0.000885704416 , 0.000885704416 , 0 , 0 , 0.0008857044 , 0 , 0 , 0.8358 , 2.388 , 0.0506 , 0.001099148421 , 0.5381 , 0.001099148421 , 0.001099148421 , 0 , 0 , 0.86625 , 2.475 , 0.0502 , 0.001142542817 , 0.5199 , 0.001142542817 , 0.001142542817 , 0 , 0 , 0.0011425428 , 0.0011425428 , 1.9234468167 , 1.90585096245 , 1.85839063371 , 1.9234468167
1 , OFF , 0 , Wallace , 0 , True , svt , 0.9 , 2.388 , 0.0506 , 0.001099148421 , 0.5381 , 0.001099148421 , 0.001099148421 , 0.7021 , 2.006 , 0.038 , 0.000885704416 , 0.5247 , 0.000885704416 , 0.000885704416 , 0 , 0 , 0.0008857044 , 0 , 0 , 0.8358 , 2.388 , 0.0506 , 0.001099148421 , 0.5381 , 0.001099148421 , 0.001099148421 , 0 , 0 , 0.86625 , 2.475 , 0.0502 , 0.001142542817 , 0.5199 , 0.001142542817 , 0.001142542817 , 0 , 0 , 0.0011425428 ,  , 1.85839063371 , 1.90585096245 , 1.85839063371 , 1.9234468167
