design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_1000, lvt, 0.8, 1.33, 1.66, 1.67, 10438.469857, 11276, 11216, 4.4225, 5.6454, 5.4132, 0.6944177, 0.6144786, 0.610748
lvt_1000, lvt, 0.9, 1.00, 1.25, 1.25, 10438.469857, 11276, 11216, 5.5711, 7.1234, 6.8285, 0.9557687, 0.8435332, 0.83831
lvt_1000, lvt, 1.0, 0.80, 1.01, 1.01, 10438.469857, 11276, 11216, 6.9069, 8.8325, 8.4669, 1.2985, 1.1431, 1.1358
lvt_1100, lvt, 0.8, 1.45, 1.81, 1.82, 10416.772657, 11216, 11172, 4.4186, 5.5731, 5.3212, 0.6921034, 0.6029922, 0.596755
lvt_1100, lvt, 0.9, 1.08, 1.37, 1.37, 10416.772657, 11216, 11172, 5.5703, 7.0326, 6.7133, 0.9525686, 0.8275734, 0.8188906
lvt_1100, lvt, 1.0, 0.87, 1.11, 1.10, 10416.772657, 11216, 11172, 6.9135, 8.7222, 8.3268, 1.2942, 1.1212, 1.1092
lvt_1200, lvt, 0.8, 1.58, 1.99, 1.98, 10414.655857, 11187, 11157, 4.3931, 5.5670, 5.3532, 0.6837472, 0.6006152, 0.5951295
lvt_1200, lvt, 0.9, 1.17, 1.50, 1.49, 10414.655857, 11187, 11157, 5.5373, 7.0298, 6.7567, 0.9408423, 0.8242913, 0.8166537
lvt_1200, lvt, 1.0, 0.94, 1.21, 1.21, 10414.655857, 11187, 11157, 6.8709, 8.7270, 8.3851, 1.2779, 1.1167, 1.1062
lvt_590, lvt, 0.8, 0.88, 1.05, 1.05, 13508.182808, 19054, 17503, 5.7564, 8.8241, 8.0762, 1.0228, 1.3640, 1.1886
lvt_590, lvt, 0.9, 0.65, 0.78, 0.78, 13508.182808, 19054, 17503, 7.2802, 11.1714, 10.2166, 1.4157, 1.8907, 1.6444
lvt_590, lvt, 1.0, 0.52, 0.63, 0.63, 13508.182808, 19054, 17503, 9.0654, 13.9054, 12.7039, 1.9345, 2.5875, 2.2459
lvt_650, lvt, 0.8, 0.89, 1.12, 1.15, 13031.197216, 15999, 14428, 5.5813, 7.9006, 6.9811, 0.9646937, 1.0535, 0.8901646
lvt_650, lvt, 0.9, 0.65, 0.84, 0.86, 13031.197216, 15999, 14428, 7.0575, 9.9890, 8.8197, 1.3342, 1.4564, 1.2281
lvt_650, lvt, 1.0, 0.52, 0.68, 0.70, 13031.197216, 15999, 14428, 8.7844, 12.4081, 10.9457, 1.8217, 1.9878, 1.6726
lvt_700, lvt, 0.8, 0.95, 1.22, 1.22, 11890.594738, 14044, 13404, 5.1686, 7.0042, 6.6244, 0.8670767, 0.8596625, 0.814327
lvt_700, lvt, 0.9, 0.70, 0.91, 0.92, 11890.594738, 14044, 13404, 6.5234, 8.8474, 8.3654, 1.1980, 1.1857, 1.1230
lvt_700, lvt, 1.0, 0.56, 0.74, 0.74, 11890.594738, 14044, 13404, 8.1016, 10.9755, 10.3761, 1.6341, 1.6146, 1.5289
lvt_800, lvt, 0.8, 1.08, 1.40, 1.40, 10838.545075, 12622, 12325, 4.6010, 6.3404, 6.0191, 0.7455214, 0.7036009, 0.6893307
lvt_800, lvt, 0.9, 0.80, 1.05, 1.05, 10838.545075, 12622, 12325, 5.7931, 8.0029, 7.5969, 1.0273, 0.967662, 0.9476619
lvt_800, lvt, 1.0, 0.64, 0.84, 0.85, 10838.545075, 12622, 12325, 7.1751, 9.9186, 9.4180, 1.3975, 1.3138, 1.2861
lvt_900, lvt, 0.8, 1.20, 1.51, 1.52, 10529.668660, 11666, 11470, 4.4452, 5.8612, 5.5457, 0.706173, 0.6332544, 0.6296841
lvt_900, lvt, 0.9, 0.90, 1.12, 1.15, 10529.668660, 11666, 11470, 5.5944, 7.3952, 6.9954, 0.972115, 0.8696291, 0.8646031
lvt_900, lvt, 1.0, 0.72, 0.91, 0.93, 10529.668660, 11666, 11470, 6.9265, 9.1656, 8.6716, 1.3210, 1.1789, 1.1719
