design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_1000, lvt, 0.8, 1.35, 1.79, 1.77, 49831.588233, 63504, 59204, 23.4284, 34.7041, 32.2320, 3.5078, 3.6904, 3.4835
lvt_1000, lvt, 0.9, 1.00, 1.34, 1.32, 49831.588233, 63504, 59204, 29.5305, 43.8648, 40.7250, 4.8369, 5.0846, 4.7974
lvt_1000, lvt, 1.0, 0.80, 1.09, 1.07, 49831.588233, 63504, 59204, 36.6260, 54.4381, 50.5401, 6.5838, 6.9162, 6.5223
lvt_1100, lvt, 0.8, 1.49, 1.93, 2.05, 48114.510531, 58085, 56710, 22.2403, 32.3258, 31.1507, 3.2592, 3.2402, 3.1418
lvt_1100, lvt, 0.9, 1.10, 1.46, 1.54, 48114.510531, 58085, 56710, 28.0099, 40.8533, 39.3691, 4.4881, 4.4559, 4.3192
lvt_1100, lvt, 1.0, 0.88, 1.18, 1.25, 48114.510531, 58085, 56710, 34.7139, 50.7050, 48.8790, 6.1006, 6.0494, 5.8620
lvt_1200, lvt, 0.8, 1.61, 2.05, 2.11, 47634.878920, 53749, 52587, 21.9400, 30.0187, 29.1510, 3.1958, 2.9916, 2.9469
lvt_1200, lvt, 0.9, 1.20, 1.54, 1.58, 47634.878920, 53749, 52587, 27.6335, 37.9273, 36.8287, 4.3992, 4.1100, 4.0483
lvt_1200, lvt, 1.0, 0.96, 1.25, 1.28, 47634.878920, 53749, 52587, 34.2512, 47.0844, 45.7317, 5.9777, 5.5738, 5.4898
lvt_800, lvt, 0.8, 1.17, 1.45, 1.41, 58430.206696, 85450, 81128, 27.8063, 44.3883, 41.7679, 4.4672, 6.3622, 5.9023
lvt_800, lvt, 0.9, 0.86, 1.11, 1.05, 58430.206696, 85450, 81128, 35.1674, 56.2315, 52.8849, 6.1840, 8.8275, 8.1831
lvt_800, lvt, 1.0, 0.69, 0.91, 0.85, 58430.206696, 85450, 81128, 43.7935, 70.0303, 65.8247, 8.4510, 12.0918, 11.2007
lvt_850, lvt, 0.8, 1.16, 1.47, 1.47, 57734.837961, 83255, 75949, 27.4201, 42.9682, 39.7436, 4.3208, 5.7355, 5.1211
lvt_850, lvt, 0.9, 0.86, 1.10, 1.09, 57734.837961, 83255, 75949, 34.6845, 54.3850, 50.2769, 5.9773, 7.9462, 7.0845
lvt_850, lvt, 1.0, 0.69, 0.90, 0.89, 57734.837961, 83255, 75949, 43.1990, 67.6306, 62.4850, 8.1630, 10.8690, 9.6755
lvt_900, lvt, 0.8, 1.22, 1.56, 1.55, 52250.737934, 71353, 65387, 24.8232, 38.2133, 35.1977, 3.7810, 4.5678, 4.1921
lvt_900, lvt, 0.9, 0.90, 1.17, 1.16, 52250.737934, 71353, 65387, 31.3120, 48.3161, 44.4852, 5.2202, 6.3108, 5.7878
lvt_900, lvt, 1.0, 0.72, 0.96, 0.94, 52250.737934, 71353, 65387, 38.8662, 59.9898, 55.2233, 7.1148, 8.6079, 7.8888
lvt_950, lvt, 0.8, 1.29, 1.66, 1.63, 50539.481403, 67480, 65208, 23.6868, 36.1170, 34.8003, 3.5782, 4.0087, 3.8601
lvt_950, lvt, 0.9, 0.95, 1.25, 1.22, 50539.481403, 67480, 65208, 29.8428, 45.6465, 43.9743, 4.9357, 5.5281, 5.3209
lvt_950, lvt, 1.0, 0.76, 1.01, 0.99, 50539.481403, 67480, 65208, 36.9898, 56.6349, 54.5579, 6.7207, 7.5264, 7.2411
