design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_400, lvt, 0.8, 0.66, 0.73, 0.72, 3232.000856, 4424, 4328, 1.0147, 1.5060, 1.4540, 0.2063678, 0.2700983, 0.2617323
lvt_400, lvt, 0.9, 0.48, 0.55, 0.54, 3232.000856, 4424, 4328, 1.2825, 1.9049, 1.8392, 0.2848557, 0.3734473, 0.3618216
lvt_400, lvt, 1.0, 0.38, 0.45, 0.43, 3232.000856, 4424, 4328, 1.5935, 2.3671, 2.2855, 0.3882531, 0.5098749, 0.4939403
lvt_450, lvt, 0.8, 0.65, 0.79, 0.77, 3232.000853, 3450, 3291, 1.0151, 1.1870, 1.1298, 0.2030471, 0.180205, 0.1669563
lvt_450, lvt, 0.9, 0.48, 0.58, 0.57, 3232.000853, 3450, 3291, 1.2830, 1.4999, 1.4275, 0.2802885, 0.2480264, 0.2296446
lvt_450, lvt, 1.0, 0.38, 0.47, 0.46, 3232.000853, 3450, 3291, 1.5938, 1.8599, 1.7695, 0.3820683, 0.3370974, 0.3119229
lvt_500, lvt, 0.8, 0.68, 0.88, 0.85, 2865.794438, 2874, 2967, 0.9266046, 1.0367, 1.0136, 0.1789341, 0.14221, 0.1404413
lvt_500, lvt, 0.9, 0.50, 0.65, 0.63, 2865.794438, 2874, 2967, 1.1712, 1.3095, 1.2804, 0.2466865, 0.1953809, 0.1927747
lvt_500, lvt, 1.0, 0.40, 0.52, 0.51, 2865.794438, 2874, 2967, 1.4552, 1.6229, 1.5874, 0.3358024, 0.2650626, 0.2612945
lvt_550, lvt, 0.8, 0.75, 0.94, 0.93, 2528.341209, 2629, 2690, 0.8219705, 0.9064161, 0.9174836, 0.1572239, 0.1240775, 0.1257789
lvt_550, lvt, 0.9, 0.55, 0.70, 0.69, 2528.341209, 2629, 2690, 1.0376, 1.1433, 1.1579, 0.2166004, 0.1701227, 0.172476
lvt_550, lvt, 1.0, 0.44, 0.56, 0.56, 2528.341209, 2629, 2690, 1.2877, 1.4153, 1.4342, 0.2946143, 0.2303126, 0.2335281
lvt_600, lvt, 0.8, 0.81, 1.00, 1.02, 2350.177178, 2486, 2557, 0.794119, 0.8909663, 0.8998832, 0.1534207, 0.1254548, 0.1246793
lvt_600, lvt, 0.9, 0.60, 0.75, 0.75, 2350.177178, 2486, 2557, 1.0000, 1.1226, 1.1343, 0.2112695, 0.1719993, 0.1708902
lvt_600, lvt, 1.0, 0.48, 0.60, 0.61, 2350.177178, 2486, 2557, 1.2384, 1.3895, 1.4040, 0.2872061, 0.2327981, 0.2312446
lvt_700, lvt, 0.8, 0.95, 1.18, 1.21, 2331.655191, 2479, 2479, 0.7168494, 0.8374119, 0.8330774, 0.1268692, 0.10333, 0.1029863
lvt_700, lvt, 0.9, 0.70, 0.88, 0.88, 2331.655191, 2479, 2479, 0.9023384, 1.0558, 1.0503, 0.1741203, 0.1411004, 0.1406087
lvt_700, lvt, 1.0, 0.55, 0.70, 0.70, 2331.655191, 2479, 2479, 1.1163, 1.3068, 1.3001, 0.2359356, 0.1902371, 0.1895411
lvt_800, lvt, 0.8, 1.07, 1.35, 1.37, 2335.006793, 2459, 2459, 0.7113077, 0.8275256, 0.8346303, 0.1246749, 0.0999461, 0.0997796
lvt_800, lvt, 0.9, 0.80, 0.99, 1.00, 2335.006793, 2459, 2459, 0.8956174, 1.0434, 1.0527, 0.1710573, 0.1363845, 0.1361536
lvt_800, lvt, 1.0, 0.63, 0.79, 0.79, 2335.006793, 2459, 2459, 1.1084, 1.2919, 1.3036, 0.2317177, 0.1837508, 0.1834346
lvt_900, lvt, 0.8, 1.11, 1.42, 1.44, 2332.537193, 2459, 2459, 0.7110034, 0.8244081, 0.8373232, 0.1247235, 0.0999935, 0.0999455
lvt_900, lvt, 0.9, 0.82, 1.05, 1.06, 2332.537193, 2459, 2459, 0.8952297, 1.0395, 1.0561, 0.1711234, 0.1364517, 0.1363888
lvt_900, lvt, 1.0, 0.65, 0.83, 0.84, 2332.537193, 2459, 2459, 1.1079, 1.2869, 1.3078, 0.2318061, 0.1838441, 0.1837624
