design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_1000, lvt, 0.8, 1.24, 1.68, 1.68, 10705.892264, 11510, 11906, 4.2468, 5.3874, 5.1482, 0.7011007, 0.6062023, 0.57221
lvt_1000, lvt, 0.9, 0.92, 1.25, 1.25, 10705.892264, 11510, 11906, 5.3457, 6.7951, 6.4950, 0.9648846, 0.8314912, 0.7837936
lvt_1000, lvt, 1.0, 0.74, 1.01, 1.00, 10705.892264, 11510, 11906, 6.6192, 8.4199, 8.0485, 1.3108, 1.1259, 1.0599
lvt_1100, lvt, 0.8, 1.46, 1.85, 1.85, 11022.001155, 11781, 12114, 3.9357, 5.0357, 4.9295, 0.5781768, 0.5015547, 0.4885468
lvt_1100, lvt, 0.9, 1.08, 1.38, 1.37, 11022.001155, 11781, 12114, 4.9545, 6.3541, 6.2197, 0.7927521, 0.6852583, 0.6666942
lvt_1100, lvt, 1.0, 0.85, 1.11, 1.10, 11022.001155, 11781, 12114, 6.1316, 7.8741, 7.7052, 1.0731, 0.9243731, 0.8982993
lvt_1200, lvt, 0.8, 1.46, 2.00, 2.00, 11023.412355, 11739, 11823, 3.9339, 5.0178, 4.8727, 0.5776876, 0.4945276, 0.4835009
lvt_1200, lvt, 0.9, 1.08, 1.50, 1.48, 11023.412355, 11739, 11823, 4.9521, 6.3329, 6.1491, 0.7920655, 0.6755089, 0.6599752
lvt_1200, lvt, 1.0, 0.85, 1.20, 1.19, 11023.412355, 11739, 11823, 6.1283, 7.8508, 7.6214, 1.0722, 0.9110203, 0.8894497
lvt_590, lvt, 0.8, 0.87, 1.06, 1.03, 15357.207846, 22814, 19030, 5.8020, 9.7599, 8.2977, 0.9715096, 1.4176, 1.1259
lvt_590, lvt, 0.9, 0.63, 0.80, 0.76, 15357.207846, 22814, 19030, 7.3326, 12.3451, 10.4941, 1.3412, 1.9620, 1.5550
lvt_590, lvt, 1.0, 0.50, 0.65, 0.62, 15357.207846, 22814, 19030, 9.1072, 15.3294, 13.0287, 1.8285, 2.6813, 2.1208
lvt_650, lvt, 0.8, 0.89, 1.17, 1.15, 13231.411361, 15517, 15303, 5.0311, 7.1890, 6.8308, 0.8206287, 0.8979918, 0.8368214
lvt_650, lvt, 0.9, 0.66, 0.88, 0.86, 13231.411361, 15517, 15303, 6.3576, 9.0931, 8.6389, 1.1311, 1.2382, 1.1526
lvt_650, lvt, 1.0, 0.52, 0.71, 0.69, 13231.411361, 15517, 15303, 7.8966, 11.2872, 10.7233, 1.5394, 1.6857, 1.5675
lvt_700, lvt, 0.8, 0.96, 1.30, 1.22, 12204.586876, 13980, 14172, 4.6635, 6.4357, 6.2844, 0.7586437, 0.7658371, 0.7448823
lvt_700, lvt, 0.9, 0.70, 0.96, 0.90, 12204.586876, 13980, 14172, 5.8891, 8.1382, 7.9460, 1.0451, 1.0542, 1.0247
lvt_700, lvt, 1.0, 0.56, 0.77, 0.73, 12204.586876, 13980, 14172, 7.3112, 10.1017, 9.8610, 1.4215, 1.4328, 1.3920
lvt_800, lvt, 0.8, 1.08, 1.41, 1.35, 10953.381475, 12358, 14215, 4.3818, 5.8308, 6.1023, 0.7255704, 0.6715258, 0.6609548
lvt_800, lvt, 0.9, 0.80, 1.05, 1.01, 10953.381475, 12358, 14215, 5.5171, 7.3576, 7.7066, 0.9990533, 0.9226802, 0.9072324
lvt_800, lvt, 1.0, 0.64, 0.85, 0.81, 10953.381475, 12358, 14215, 6.8330, 9.1178, 9.5484, 1.3579, 1.2516, 1.2297
lvt_900, lvt, 0.8, 1.21, 1.52, 1.52, 10707.127064, 11760, 12655, 4.2469, 5.5436, 5.3368, 0.7011871, 0.6300491, 0.5789575
lvt_900, lvt, 0.9, 0.90, 1.14, 1.13, 10707.127064, 11760, 12655, 5.3458, 6.9916, 6.7344, 0.9650053, 0.8647659, 0.7929452
lvt_900, lvt, 1.0, 0.72, 0.92, 0.91, 10707.127064, 11760, 12655, 6.6193, 8.6606, 8.3422, 1.3110, 1.1717, 1.0723
