design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_300, lvt, 0.8, 0.44, 0.51, 0.51, 742.114812, 716, 681, 0.1661859, 0.1841493, 0.16709, 0.0469187, 0.0368303, 0.033697
lvt_300, lvt, 0.9, 0.33, 0.38, 0.38, 742.114812, 716, 681, 0.209863, 0.2325539, 0.2109536, 0.0649431, 0.0506985, 0.0463259
lvt_300, lvt, 1.0, 0.26, 0.30, 0.31, 742.114812, 716, 681, 0.2604124, 0.2881081, 0.2612695, 0.0887888, 0.0689202, 0.0628963
lvt_350, lvt, 0.8, 0.47, 0.61, 0.59, 569.595610, 590, 579, 0.1326499, 0.1515125, 0.1441188, 0.0331464, 0.0265911, 0.0261221
lvt_350, lvt, 0.9, 0.35, 0.45, 0.44, 569.595610, 590, 579, 0.1675625, 0.1913621, 0.1819882, 0.0456436, 0.0364951, 0.0358355
lvt_350, lvt, 1.0, 0.28, 0.36, 0.35, 569.595610, 590, 579, 0.2079337, 0.2370076, 0.225393, 0.0620669, 0.0494668, 0.0485516
lvt_400, lvt, 0.8, 0.54, 0.68, 0.67, 497.271601, 519, 508, 0.1236826, 0.1389195, 0.1296877, 0.0304745, 0.0232722, 0.0224805
lvt_400, lvt, 0.9, 0.40, 0.50, 0.50, 497.271601, 519, 508, 0.1558332, 0.1752136, 0.1634308, 0.0419869, 0.031888, 0.0307719
lvt_400, lvt, 1.0, 0.32, 0.40, 0.40, 497.271601, 519, 508, 0.1929733, 0.2168275, 0.2021449, 0.0571162, 0.0431446, 0.0415914
lvt_450, lvt, 0.8, 0.61, 0.76, 0.77, 469.929599, 497, 492, 0.117062, 0.1333717, 0.1249324, 0.0282776, 0.0216852, 0.0207971
lvt_450, lvt, 0.9, 0.45, 0.57, 0.57, 469.929599, 497, 492, 0.1474362, 0.1681766, 0.1574955, 0.0389268, 0.0296652, 0.0284289
lvt_450, lvt, 1.0, 0.36, 0.45, 0.45, 469.929599, 497, 492, 0.1825275, 0.2081312, 0.1949082, 0.0529064, 0.0400693, 0.0383701
lvt_500, lvt, 0.8, 0.66, 0.84, 0.85, 454.053598, 481, 481, 0.1143029, 0.1292066, 0.1245241, 0.0271552, 0.0204835, 0.0204544
lvt_500, lvt, 0.9, 0.50, 0.62, 0.63, 454.053598, 481, 481, 0.1439865, 0.1629669, 0.1570632, 0.0373688, 0.028003, 0.0279595
lvt_500, lvt, 1.0, 0.40, 0.50, 0.50, 454.053598, 481, 481, 0.1783129, 0.2017805, 0.1945226, 0.0507703, 0.0377987, 0.0377344
lvt_600, lvt, 0.8, 0.80, 0.98, 1.01, 449.643597, 476, 476, 0.1142457, 0.1299167, 0.1243044, 0.0273455, 0.0208119, 0.0205313
lvt_600, lvt, 0.9, 0.60, 0.73, 0.75, 449.643597, 476, 476, 0.1438554, 0.1639137, 0.1568178, 0.0376346, 0.0284632, 0.0280704
lvt_600, lvt, 1.0, 0.48, 0.59, 0.60, 449.643597, 476, 476, 0.1781095, 0.2030947, 0.1943383, 0.0511356, 0.0384325, 0.0378899
