design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_300, lvt, 0.8, 0.41, 0.52, 0.51, 1205.870417, 1133, 1067, 0.2021676, 0.2220494, 0.1923602, 0.0695865, 0.0525047, 0.0464282
lvt_300, lvt, 0.9, 0.30, 0.38, 0.38, 1205.870417, 1133, 1067, 0.2549132, 0.2802201, 0.2425887, 0.0961106, 0.072233, 0.0638085
lvt_300, lvt, 1.0, 0.24, 0.31, 0.31, 1205.870417, 1133, 1067, 0.31595, 0.3470691, 0.3001454, 0.1311321, 0.0981613, 0.0866331
lvt_350, lvt, 0.8, 0.48, 0.60, 0.60, 849.718814, 833, 803, 0.1594531, 0.170932, 0.1545501, 0.0453924, 0.0339595, 0.0316776
lvt_350, lvt, 0.9, 0.35, 0.44, 0.44, 849.718814, 833, 803, 0.2012371, 0.2157318, 0.194935, 0.0626149, 0.046601, 0.0433912
lvt_350, lvt, 1.0, 0.28, 0.35, 0.35, 849.718814, 833, 803, 0.2496372, 0.26708, 0.2411764, 0.0853136, 0.0631689, 0.0587125
lvt_400, lvt, 0.8, 0.55, 0.68, 0.68, 583.884010, 611, 605, 0.1183737, 0.1367935, 0.1239562, 0.0311959, 0.0245325, 0.0223444
lvt_400, lvt, 0.9, 0.40, 0.51, 0.50, 583.884010, 611, 605, 0.1493768, 0.1726327, 0.1563568, 0.0430156, 0.0336188, 0.0305643
lvt_400, lvt, 1.0, 0.32, 0.41, 0.40, 583.884010, 611, 605, 0.1853116, 0.2136735, 0.193474, 0.0585748, 0.0455018, 0.0412927
lvt_450, lvt, 0.8, 0.61, 0.77, 0.78, 508.914005, 553, 541, 0.1038588, 0.1243, 0.1138308, 0.0262797, 0.0199486, 0.018641
lvt_450, lvt, 0.9, 0.45, 0.57, 0.58, 508.914005, 553, 541, 0.1309153, 0.1568446, 0.1436232, 0.0362121, 0.027284, 0.0254304
lvt_450, lvt, 1.0, 0.36, 0.46, 0.46, 508.914005, 553, 541, 0.162319, 0.1941658, 0.1779186, 0.049274, 0.0368554, 0.0342633
lvt_500, lvt, 0.8, 0.66, 0.86, 0.85, 493.743604, 529, 523, 0.1011779, 0.1180497, 0.1089998, 0.0249801, 0.0174786, 0.0166013
lvt_500, lvt, 0.9, 0.49, 0.63, 0.63, 493.743604, 529, 523, 0.1274904, 0.1489595, 0.1375288, 0.0343938, 0.0238357, 0.022605
lvt_500, lvt, 1.0, 0.39, 0.50, 0.50, 493.743604, 529, 523, 0.1580487, 0.1845167, 0.1704518, 0.0467625, 0.0321012, 0.0303974
lvt_600, lvt, 0.8, 0.80, 1.03, 1.02, 505.738806, 535, 529, 0.092074, 0.1101394, 0.1043481, 0.0203286, 0.0138688, 0.0140058
lvt_600, lvt, 0.9, 0.59, 0.76, 0.75, 505.738806, 535, 529, 0.1160325, 0.1391859, 0.1318944, 0.0278595, 0.0187897, 0.0189827
lvt_600, lvt, 1.0, 0.47, 0.60, 0.60, 505.738806, 535, 529, 0.1436876, 0.1726049, 0.1636875, 0.037711, 0.0251446, 0.025413
