design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_300, lvt, 0.8, 0.45, 0.52, 0.51, 1188.936017, 1253, 1145, 0.1990041, 0.2525942, 0.2054572, 0.0690524, 0.0608194, 0.050953
lvt_300, lvt, 0.9, 0.33, 0.39, 0.38, 1188.936017, 1253, 1145, 0.2510287, 0.3187548, 0.2592188, 0.0954786, 0.08382, 0.0701117
lvt_300, lvt, 1.0, 0.26, 0.31, 0.30, 1188.936017, 1253, 1145, 0.3112215, 0.3947313, 0.3208987, 0.1304073, 0.1141102, 0.0952978
lvt_350, lvt, 0.8, 0.48, 0.61, 0.60, 843.721215, 844, 820, 0.1533177, 0.1782697, 0.1541687, 0.0442832, 0.0357449, 0.0313062
lvt_350, lvt, 0.9, 0.35, 0.45, 0.44, 843.721215, 844, 820, 0.1933987, 0.2249913, 0.1944935, 0.0610344, 0.0490801, 0.0428977
lvt_350, lvt, 1.0, 0.28, 0.36, 0.35, 843.721215, 844, 820, 0.2396799, 0.2784698, 0.2406278, 0.0830915, 0.0665662, 0.0580652
lvt_400, lvt, 0.8, 0.54, 0.67, 0.69, 600.289210, 617, 605, 0.1235314, 0.1363009, 0.1274473, 0.0324465, 0.023178, 0.02263
lvt_400, lvt, 0.9, 0.40, 0.50, 0.51, 600.289210, 617, 605, 0.1560286, 0.1720264, 0.1608834, 0.0447567, 0.0317123, 0.0309635
lvt_400, lvt, 1.0, 0.32, 0.40, 0.40, 600.289210, 617, 605, 0.1937966, 0.212927, 0.1992654, 0.0609697, 0.0428554, 0.041844
lvt_450, lvt, 0.8, 0.61, 0.78, 0.76, 515.617207, 558, 547, 0.1031204, 0.126725, 0.114939, 0.0249496, 0.020307, 0.0192567
lvt_450, lvt, 0.9, 0.45, 0.57, 0.57, 515.617207, 558, 547, 0.1299397, 0.1600294, 0.145073, 0.0343049, 0.0277551, 0.0262819
lvt_450, lvt, 1.0, 0.36, 0.46, 0.46, 515.617207, 558, 547, 0.1609462, 0.1982585, 0.1797196, 0.046582, 0.0374668, 0.0354264
lvt_500, lvt, 0.8, 0.67, 0.85, 0.85, 496.742404, 529, 523, 0.1020241, 0.121502, 0.1114186, 0.0251376, 0.018089, 0.0174964
lvt_500, lvt, 0.9, 0.50, 0.63, 0.62, 496.742404, 529, 523, 0.1285735, 0.1534563, 0.140572, 0.0346184, 0.0246805, 0.0238455
lvt_500, lvt, 1.0, 0.40, 0.50, 0.50, 496.742404, 529, 523, 0.1594088, 0.1903022, 0.1741883, 0.0470785, 0.0332559, 0.0320942
lvt_600, lvt, 0.8, 0.81, 1.03, 1.03, 505.738807, 535, 535, 0.091854, 0.1119044, 0.1035127, 0.0197092, 0.0140659, 0.0138741
lvt_600, lvt, 0.9, 0.60, 0.76, 0.76, 505.738807, 535, 535, 0.115728, 0.1413673, 0.1308761, 0.0269953, 0.0190654, 0.0187972
lvt_600, lvt, 1.0, 0.48, 0.60, 0.60, 505.738807, 535, 535, 0.1432651, 0.1752066, 0.1624971, 0.036521, 0.0255259, 0.0251554
