design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_400, lvt, 0.8, 0.85, 0.90, 0.91, 1255.262413, 1481, 1513, 0.2824116, 0.3506679, 0.357404, 0.0896546, 0.0958998, 0.096283
lvt_400, lvt, 0.9, 0.63, 0.67, 0.68, 1255.262413, 1481, 1513, 0.356686, 0.4428163, 0.4513936, 0.1245357, 0.1330734, 0.1336031
lvt_400, lvt, 1.0, 0.50, 0.54, 0.54, 1255.262413, 1481, 1513, 0.4428389, 0.5490455, 0.5598038, 0.1708309, 0.18234, 0.1830745
lvt_450, lvt, 0.8, 0.86, 0.91, 0.91, 1146.952813, 1434, 1455, 0.2651872, 0.3492971, 0.347613, 0.0814949, 0.0950417, 0.093341
lvt_450, lvt, 0.9, 0.63, 0.67, 0.68, 1146.952813, 1434, 1455, 0.3350698, 0.4413483, 0.4394208, 0.1129966, 0.131853, 0.1294834
lvt_450, lvt, 1.0, 0.50, 0.54, 0.55, 1146.952813, 1434, 1455, 0.4162509, 0.54789, 0.5457605, 0.1547013, 0.1806282, 0.1773644
lvt_500, lvt, 0.8, 0.84, 0.88, 0.88, 1307.300414, 1762, 1804, 0.2918763, 0.3874982, 0.4034595, 0.0933346, 0.1077501, 0.1113604
lvt_500, lvt, 0.9, 0.62, 0.66, 0.66, 1307.300414, 1762, 1804, 0.3686138, 0.4895045, 0.5095705, 0.1297218, 0.1494412, 0.1545031
lvt_500, lvt, 1.0, 0.50, 0.53, 0.53, 1307.300414, 1762, 1804, 0.4576939, 0.6073556, 0.6320019, 0.1780649, 0.2046883, 0.2116934
lvt_550, lvt, 0.8, 0.84, 0.94, 0.94, 1310.299211, 1137, 1074, 0.2891482, 0.2878979, 0.2733371, 0.0923867, 0.0623522, 0.0578912
lvt_550, lvt, 0.9, 0.62, 0.70, 0.70, 1310.299211, 1137, 1074, 0.365045, 0.3637498, 0.34518, 0.1282936, 0.0860873, 0.0798778
lvt_550, lvt, 1.0, 0.50, 0.56, 0.56, 1310.299211, 1137, 1074, 0.4530888, 0.4511655, 0.4277697, 0.1759493, 0.1173778, 0.1088426
lvt_600, lvt, 0.8, 0.83, 1.02, 1.02, 1319.824813, 968, 968, 0.2975388, 0.240678, 0.2386934, 0.0914936, 0.0472614, 0.0457207
lvt_600, lvt, 0.9, 0.61, 0.76, 0.76, 1319.824813, 968, 968, 0.3758955, 0.3039705, 0.3015498, 0.1269288, 0.06508, 0.0629457
lvt_600, lvt, 1.0, 0.48, 0.61, 0.60, 1319.824813, 968, 968, 0.4669081, 0.3766878, 0.3738711, 0.1739094, 0.0885019, 0.0855833
lvt_650, lvt, 0.8, 0.88, 1.11, 1.09, 983.959216, 862, 867, 0.2358635, 0.2192894, 0.211078, 0.0636382, 0.0404127, 0.0391628
lvt_650, lvt, 0.9, 0.65, 0.83, 0.81, 983.959216, 862, 867, 0.2980195, 0.2769563, 0.2665186, 0.0880694, 0.0555644, 0.0538014
lvt_650, lvt, 1.0, 0.52, 0.66, 0.65, 983.959216, 862, 867, 0.3700869, 0.3431673, 0.330112, 0.1203589, 0.0754489, 0.0729949
lvt_750, lvt, 0.8, 1.02, 1.26, 1.27, 791.683212, 777, 772, 0.193122, 0.192338, 0.1890876, 0.0455962, 0.0312141, 0.0306462
lvt_750, lvt, 0.9, 0.75, 0.94, 0.94, 791.683212, 777, 772, 0.2436934, 0.2427891, 0.2386858, 0.0628081, 0.042722, 0.0419327
lvt_750, lvt, 1.0, 0.60, 0.75, 0.75, 791.683212, 777, 772, 0.3020539, 0.3006072, 0.2955344, 0.0854361, 0.0577492, 0.0566663
