design, Vth, Vdd, mapped delay, routed delay, optimized delay, mapped core area, routed core area, optimized core area, mapped dynamic power, routed dynamic power, optimized dynamic power, mapped leakage power, routed leakage power, optimized leakage power
lvt_450, lvt, 0.8, 0.69, 0.77, 0.79, 984.312013, 895, 936, 0.2747097, 0.2692312, 0.2823567, 0.0692047, 0.0495818, 0.0538604
lvt_450, lvt, 0.9, 0.51, 0.57, 0.58, 984.312013, 895, 936, 0.3474019, 0.3399599, 0.35686, 0.0957266, 0.0683285, 0.0742858
lvt_450, lvt, 1.0, 0.41, 0.46, 0.47, 984.312013, 895, 936, 0.4322191, 0.4214175, 0.4429431, 0.1307557, 0.0929841, 0.1011726
lvt_500, lvt, 0.8, 0.70, 0.85, 0.86, 899.640010, 770, 785, 0.2639942, 0.228955, 0.2336478, 0.0627974, 0.0400811, 0.0419248
lvt_500, lvt, 0.9, 0.52, 0.63, 0.64, 899.640010, 770, 785, 0.3339956, 0.2890092, 0.295012, 0.0868698, 0.0551081, 0.0576725
lvt_500, lvt, 1.0, 0.41, 0.51, 0.51, 899.640010, 770, 785, 0.4156852, 0.3582447, 0.3657557, 0.1186586, 0.0748165, 0.0783375
lvt_550, lvt, 0.8, 0.74, 0.94, 0.94, 680.904005, 660, 656, 0.211296, 0.1976398, 0.1977639, 0.0455595, 0.0326456, 0.0317239
lvt_550, lvt, 0.9, 0.55, 0.70, 0.69, 680.904005, 660, 656, 0.2669296, 0.2492306, 0.2494101, 0.0629046, 0.0448232, 0.043541
lvt_550, lvt, 1.0, 0.44, 0.56, 0.55, 680.904005, 660, 656, 0.3315875, 0.3085344, 0.3087796, 0.0857512, 0.0607666, 0.0590051
lvt_600, lvt, 0.8, 0.81, 1.02, 1.01, 631.159201, 636, 641, 0.1903617, 0.188607, 0.1868592, 0.040438, 0.0301994, 0.0299634
lvt_600, lvt, 0.9, 0.60, 0.76, 0.75, 631.159201, 636, 641, 0.239976, 0.2377671, 0.235525, 0.0557235, 0.0413901, 0.0410353
lvt_600, lvt, 1.0, 0.48, 0.60, 0.60, 631.159201, 636, 641, 0.2973245, 0.2942225, 0.2914322, 0.0758109, 0.0560103, 0.0554878
lvt_650, lvt, 0.8, 0.87, 1.11, 1.11, 588.294000, 612, 612, 0.1745992, 0.1837428, 0.1820623, 0.0360287, 0.0281756, 0.027984
lvt_650, lvt, 0.9, 0.65, 0.82, 0.82, 588.294000, 612, 612, 0.2198399, 0.2316142, 0.2295213, 0.0495828, 0.0385657, 0.0382952
lvt_650, lvt, 1.0, 0.52, 0.66, 0.65, 588.294000, 612, 612, 0.2719768, 0.2866114, 0.2840922, 0.0673663, 0.0521175, 0.0517408
lvt_750, lvt, 0.8, 1.00, 1.26, 1.26, 577.533602, 605, 605, 0.1584038, 0.17197, 0.1695096, 0.0314223, 0.0247919, 0.0244586
lvt_750, lvt, 0.9, 0.75, 0.94, 0.93, 577.533602, 605, 605, 0.1994326, 0.2168183, 0.2137381, 0.0431659, 0.0338691, 0.0334021
lvt_750, lvt, 1.0, 0.60, 0.75, 0.75, 577.533602, 605, 605, 0.2466579, 0.2683295, 0.2645536, 0.0585474, 0.0456851, 0.0450397
