top_MultiplierP.MultiplierP.BoothType , top_MultiplierP.MultiplierP.Designware_MODE , top_MultiplierP.MultiplierP.ModifiedBooth , top_MultiplierP.MultiplierP.TreeType , top_MultiplierP.MultiplierP.UseMP , TOP_RP , TOP_VT , TOP_Voltage , COST_Avg_Dyn_Power_mW , COST_Avg_Leak_Power_mW , COST_Cell_Area_mmsq , COST_Clk_Period_nS , COST_Comb_Area_mmsq , COST_Core_Area_mmsq , COST_Mapped_Avg_Dyn_Energy_pJ , COST_Mapped_Avg_Dyn_Power_mW , COST_Mapped_Avg_Leak_Power_mW , COST_Mapped_Cell_Area_mmsq , COST_Mapped_Clk_Period_nS , COST_Mapped_Comb_Area_mmsq , COST_Mapped_Core_Area_mmsq , COST_Mapped_Net_Area_mmsq , COST_Mapped_NonComb_Area_mmsq , COST_Mapped__Area_mmsq , COST_Net_Area_mmsq , COST_NonComb_Area_mmsq , COST_Optimized_Avg_Dyn_Energy_pJ , COST_Optimized_Avg_Dyn_Power_mW , COST_Optimized_Avg_Leak_Power_mW , COST_Optimized_Cell_Area_mmsq , COST_Optimized_Clk_Period_nS , COST_Optimized_Comb_Area_mmsq , COST_Optimized_Core_Area_mmsq , COST_Optimized_Net_Area_mmsq , COST_Optimized_NonComb_Area_mmsq , COST_Routed_Avg_Dyn_Energy_pJ , COST_Routed_Avg_Dyn_Power_mW , COST_Routed_Avg_Leak_Power_mW , COST_Routed_Cell_Area_mmsq , COST_Routed_Clk_Period_nS , COST_Routed_Comb_Area_mmsq , COST_Routed_Core_Area_mmsq , COST_Routed_Net_Area_mmsq , COST_Routed_NonComb_Area_mmsq , COST_Routed__Area_mmsq , COST___Area_mmsq , PERF_Clk_Freq_Ghz , PERF_Mapped_Clk_Freq_Ghz , PERF_Optimized_Clk_Freq_Ghz , PERF_Routed_Clk_Freq_Ghz
1 , OFF , 0 , Wallace , 0 , False , svt , 0.8 , 9.412 , 0.207 , 0.006269785304 , 1.08 , 0.006269785304 , 0.006269785304 , 3.5127 , 7.806 , 0.171 , 0.005267480487 , 1.0665 , 0.005267480487 , 0.005267480487 , 0 , 0 , 0.0052674805 , 0 , 0 , 3.94695 , 8.771 , 0.2 , 0.005929156917 , 1.1474 , 0.005929156917 , 0.005929156917 , 0 , 0 , 4.2354 , 9.412 , 0.207 , 0.006269785304 , 1.08 , 0.006269785304 , 0.006269785304 , 0 , 0 , 0.0062697853 , 0.0062697853 , 0.925925925926 , 0.937646507267 , 0.871535645808 , 0.925925925926
1 , OFF , 0 , Wallace , 0 , True , svt , 0.8 , 8.771 , 0.2 , 0.005929156917 , 1.1474 , 0.005929156917 , 0.005929156917 , 3.5127 , 7.806 , 0.171 , 0.005267480487 , 1.0665 , 0.005267480487 , 0.005267480487 , 0 , 0 , 0.0052674805 , 0 , 0 , 3.94695 , 8.771 , 0.2 , 0.005929156917 , 1.1474 , 0.005929156917 , 0.005929156917 , 0 , 0 , 4.2354 , 9.412 , 0.207 , 0.006269785304 , 1.08 , 0.006269785304 , 0.006269785304 , 0 , 0 , 0.0062697853 ,  , 0.871535645808 , 0.937646507267 , 0.871535645808 , 0.925925925926
1 , OFF , 0 , Wallace , 0 , False , svt , 0.9 , 11.86 , 0.284 , 0.006269785304 , 0.7599 , 0.006269785304 , 0.006269785304 , 4.4253 , 9.834 , 0.234 , 0.005267480487 , 0.7426 , 0.005267480487 , 0.005267480487 , 0 , 0 , 0.0052674805 , 0 , 0 , 4.97385 , 11.053 , 0.275 , 0.005929156917 , 0.8051 , 0.005929156917 , 0.005929156917 , 0 , 0 , 5.337 , 11.86 , 0.284 , 0.006269785304 , 0.7599 , 0.006269785304 , 0.006269785304 , 0 , 0 , 0.0062697853 , 0.0062697853 , 1.31596262666 , 1.34661998384 , 1.24208172898 , 1.31596262666
1 , OFF , 0 , Wallace , 0 , True , svt , 0.9 , 11.053 , 0.275 , 0.005929156917 , 0.8051 , 0.005929156917 , 0.005929156917 , 4.4253 , 9.834 , 0.234 , 0.005267480487 , 0.7426 , 0.005267480487 , 0.005267480487 , 0 , 0 , 0.0052674805 , 0 , 0 , 4.97385 , 11.053 , 0.275 , 0.005929156917 , 0.8051 , 0.005929156917 , 0.005929156917 , 0 , 0 , 5.337 , 11.86 , 0.284 , 0.006269785304 , 0.7599 , 0.006269785304 , 0.006269785304 , 0 , 0 , 0.0062697853 ,  , 1.24208172898 , 1.34661998384 , 1.24208172898 , 1.31596262666
1 , OFF , 0 , Wallace , 0 , False , svt , 1.0 , 14.655 , 0.384 , 0.006269785304 , 0.59 , 0.006269785304 , 0.006269785304 , 5.46615 , 12.147 , 0.316 , 0.005267480487 , 0.5689 , 0.005267480487 , 0.005267480487 , 0 , 0 , 0.0052674805 , 0 , 0 , 6.14475 , 13.655 , 0.372 , 0.005929156917 , 0.6205 , 0.005929156917 , 0.005929156917 , 0 , 0 , 6.59475 , 14.655 , 0.384 , 0.006269785304 , 0.59 , 0.006269785304 , 0.006269785304 , 0 , 0 , 0.0062697853 , 0.0062697853 , 1.69491525424 , 1.7577781684 , 1.61160354553 , 1.69491525424
1 , OFF , 0 , Wallace , 0 , True , svt , 1.0 , 13.655 , 0.372 , 0.005929156917 , 0.6205 , 0.005929156917 , 0.005929156917 , 5.46615 , 12.147 , 0.316 , 0.005267480487 , 0.5689 , 0.005267480487 , 0.005267480487 , 0 , 0 , 0.0052674805 , 0 , 0 , 6.14475 , 13.655 , 0.372 , 0.005929156917 , 0.6205 , 0.005929156917 , 0.005929156917 , 0 , 0 , 6.59475 , 14.655 , 0.384 , 0.006269785304 , 0.59 , 0.006269785304 , 0.006269785304 , 0 , 0 , 0.0062697853 ,  , 1.61160354553 , 1.7577781684 , 1.61160354553 , 1.69491525424
1 , OFF , 0 , Wallace , 0 , False , svt , 0.8 , 8.481 , 0.205 , 0.006259906907 , 1.0826 , 0.006259906907 , 0.006259906907 , 3.5835 , 7.167 , 0.17 , 0.005225144494 , 1.0767 , 0.005225144494 , 0.005225144494 , 0 , 0 , 0.0052251445 , 0 , 0 , 3.931 , 7.862 , 0.195 , 0.00582984371 , 1.1146 , 0.00582984371 , 0.00582984371 , 0 , 0 , 4.2405 , 8.481 , 0.205 , 0.006259906907 , 1.0826 , 0.006259906907 , 0.006259906907 , 0 , 0 , 0.0062599069 , 0.0062599069 , 0.923702198411 , 0.928763815362 , 0.897182845864 , 0.923702198411
1 , OFF , 0 , Wallace , 0 , True , svt , 0.8 , 7.862 , 0.195 , 0.00582984371 , 1.1146 , 0.00582984371 , 0.00582984371 , 3.5835 , 7.167 , 0.17 , 0.005225144494 , 1.0767 , 0.005225144494 , 0.005225144494 , 0 , 0 , 0.0052251445 , 0 , 0 , 3.931 , 7.862 , 0.195 , 0.00582984371 , 1.1146 , 0.00582984371 , 0.00582984371 , 0 , 0 , 4.2405 , 8.481 , 0.205 , 0.006259906907 , 1.0826 , 0.006259906907 , 0.006259906907 , 0 , 0 , 0.0062599069 ,  , 0.897182845864 , 0.928763815362 , 0.897182845864 , 0.923702198411
1 , OFF , 0 , Wallace , 0 , False , svt , 0.9 , 10.686 , 0.282 , 0.006259906907 , 0.772 , 0.006259906907 , 0.006259906907 , 4.5145 , 9.029 , 0.232 , 0.005225144494 , 0.7485 , 0.005225144494 , 0.005225144494 , 0 , 0 , 0.0052251445 , 0 , 0 , 4.953 , 9.906 , 0.268 , 0.00582984371 , 0.7859 , 0.00582984371 , 0.00582984371 , 0 , 0 , 5.343 , 10.686 , 0.282 , 0.006259906907 , 0.772 , 0.006259906907 , 0.006259906907 , 0 , 0 , 0.0062599069 , 0.0062599069 , 1.29533678756 , 1.33600534402 , 1.27242651737 , 1.29533678756
1 , OFF , 0 , Wallace , 0 , True , svt , 0.9 , 9.906 , 0.268 , 0.00582984371 , 0.7859 , 0.00582984371 , 0.00582984371 , 4.5145 , 9.029 , 0.232 , 0.005225144494 , 0.7485 , 0.005225144494 , 0.005225144494 , 0 , 0 , 0.0052251445 , 0 , 0 , 4.953 , 9.906 , 0.268 , 0.00582984371 , 0.7859 , 0.00582984371 , 0.00582984371 , 0 , 0 , 5.343 , 10.686 , 0.282 , 0.006259906907 , 0.772 , 0.006259906907 , 0.006259906907 , 0 , 0 , 0.0062599069 ,  , 1.27242651737 , 1.33600534402 , 1.27242651737 , 1.29533678756
