top_MultiplierP.MultiplierP.BoothType , top_MultiplierP.MultiplierP.Designware_MODE , top_MultiplierP.MultiplierP.ModifiedBooth , top_MultiplierP.MultiplierP.TreeType , top_MultiplierP.MultiplierP.UseMP , TOP_RP , TOP_VT , TOP_Voltage , COST_Avg_Dyn_Power_mW , COST_Avg_Leak_Power_mW , COST_Cell_Area_mmsq , COST_Clk_Period_nS , COST_Comb_Area_mmsq , COST_Core_Area_mmsq , COST_Mapped_Avg_Dyn_Energy_pJ , COST_Mapped_Avg_Dyn_Power_mW , COST_Mapped_Avg_Leak_Power_mW , COST_Mapped_Cell_Area_mmsq , COST_Mapped_Clk_Period_nS , COST_Mapped_Comb_Area_mmsq , COST_Mapped_Core_Area_mmsq , COST_Mapped_Net_Area_mmsq , COST_Mapped_NonComb_Area_mmsq , COST_Mapped__Area_mmsq , COST_Net_Area_mmsq , COST_NonComb_Area_mmsq , COST_Optimized_Avg_Dyn_Energy_pJ , COST_Optimized_Avg_Dyn_Power_mW , COST_Optimized_Avg_Leak_Power_mW , COST_Optimized_Cell_Area_mmsq , COST_Optimized_Clk_Period_nS , COST_Optimized_Comb_Area_mmsq , COST_Optimized_Core_Area_mmsq , COST_Optimized_Net_Area_mmsq , COST_Optimized_NonComb_Area_mmsq , COST_Routed_Avg_Dyn_Energy_pJ , COST_Routed_Avg_Dyn_Power_mW , COST_Routed_Avg_Leak_Power_mW , COST_Routed_Cell_Area_mmsq , COST_Routed_Clk_Period_nS , COST_Routed_Comb_Area_mmsq , COST_Routed_Core_Area_mmsq , COST_Routed_Net_Area_mmsq , COST_Routed_NonComb_Area_mmsq , COST_Routed__Area_mmsq , COST___Area_mmsq , PERF_Clk_Freq_Ghz , PERF_Mapped_Clk_Freq_Ghz , PERF_Optimized_Clk_Freq_Ghz , PERF_Routed_Clk_Freq_Ghz
1, OFF ,0, Wallace ,0, False , svt ,0.8,  ,  ,  ,  ,  ,  ,18.1125,25.875,0.77,0.024784024,1.4932,0.024784024,0.024784024,0,0,0.024784024,  ,  ,24.899,35.57,1.18,0.033950827,1.6096,0.033950827,0.033950827,0,0,,,,,,,,,,,,  ,0.669702652,0.621272366,
1, OFF ,0, Wallace ,0, True , svt ,0.8,35.57,1.18,0.033950827,1.6096,0.033950827,0.033950827,18.1125,25.875,0.77,0.024784024,1.4932,0.024784024,0.024784024,0,0,0.024784024,0,0,24.899,35.57,1.18,0.033950827,1.6096,0.033950827,0.033950827,0,0,,,,,,,,,,,,0.621272366,0.669702652,0.621272366,
1, OFF ,0, Wallace ,0, False , svt ,0.9,  ,  ,  ,  ,  ,  ,22.8263,32.609,1.05,0.024784024,1.0398,0.024784024,0.024784024,0,0,0.024784024,  ,  ,31.381,44.83,1.62,0.033950827,1.1445,0.033950827,0.033950827,0,0,,,,,,,,,,,,  ,0.961723408,0.873743993,
1, OFF ,0, Wallace ,0, True , svt ,0.9,44.83,1.62,0.033950827,1.1445,0.033950827,0.033950827,22.8263,32.609,1.05,0.024784024,1.0398,0.024784024,0.024784024,0,0,0.024784024,0,0,31.381,44.83,1.62,0.033950827,1.1445,0.033950827,0.033950827,0,0,,,,,,,,,,,,0.873743993,0.961723408,0.873743993,
1, OFF ,0, Wallace ,0, False , svt ,1,  ,  ,  ,  ,  ,  ,28.2093,40.299,1.42,0.024784024,0.8027,0.024784024,0.024784024,0,0,0.024784024,  ,  ,38.773,55.39,2.19,0.033950827,0.8937,0.033950827,0.033950827,0,0,,,,,,,,,,,,  ,1.24579544,1.118943717,
1, OFF ,0, Wallace ,0, True , svt ,1,55.39,2.19,0.033950827,0.8937,0.033950827,0.033950827,28.2093,40.299,1.42,0.024784024,0.8027,0.024784024,0.024784024,0,0,0.024784024,0,0,38.773,55.39,2.19,0.033950827,0.8937,0.033950827,0.033950827,0,0,,,,,,,,,,,,1.118943717,1.24579544,1.118943717,
1, OFF ,0, Wallace ,0, False , svt ,0.8,  ,  ,  ,  ,  ,  ,18.3585,24.478,0.774,0.024721402,1.4954,0.024721402,0.024721402,0,0,0.024721402,  ,  ,25.10325,33.471,1.19,0.034620088,1.6314,0.034620088,0.034620088,0,0,,,,,,,,,,,,  ,0.6687174,0.612970455,
1, OFF ,0, Wallace ,0, True , svt ,0.8,33.471,1.19,0.034620088,1.6314,0.034620088,0.034620088,18.3585,24.478,0.774,0.024721402,1.4954,0.024721402,0.024721402,0,0,0.024721402,0,0,25.10325,33.471,1.19,0.034620088,1.6314,0.034620088,0.034620088,0,0,,,,,,,,,,,,0.612970455,0.6687174,0.612970455,
1, OFF ,0, Wallace ,0, False , svt ,0.9,  ,  ,  ,  ,  ,  ,23.13675,30.849,1.06,0.024721402,1.0429,0.024721402,0.024721402,0,0,0.024721402,  ,  ,31.6335,42.178,1.64,0.034620088,1.1629,0.034620088,0.034620088,0,0,,,,,,,,,,,,  ,0.958864704,0.859919168,
1, OFF ,0, Wallace ,0, True , svt ,0.9,42.178,1.64,0.034620088,1.1629,0.034620088,0.034620088,23.13675,30.849,1.06,0.024721402,1.0429,0.024721402,0.024721402,0,0,0.024721402,0,0,31.6335,42.178,1.64,0.034620088,1.1629,0.034620088,0.034620088,0,0,,,,,,,,,,,,0.859919168,0.958864704,0.859919168,
